signal_id,side,D_arm_time,R_confirm_time,order_create_time,expected_entry,actual_entry,entry_time,ENTRY_R_LOW,ENTRY_R_HIGH,ENTRY_R_SIZE,structural_stop,stop_dist_pct,exit_time,exit_reason,r_net,pm_30x10,ret_risk1pct,lev_risk1pct,fee,funding,mae,mfe,mfe_R,hold_h,age_bars,atr_idx,atr_end_time,decision_time,fills
L-2019-04-13 19:59-1,LONG,2019-04-13 00:00,2019-04-13 19:59,2019-04-13 20:00,5036.69,5036.69,2019-04-13 20:10,5004.00,5078.70,74.70,4988.99,0.9472,2019-04-15 17:39,stop,-0.011272,-11.272,-0.01190,1.056,0.000700,0.000600,-0.00947,0.02595,2.739,45.50,1,615,2019-04-13 19:59,2019-04-13 20:10,stop@2019-04-15 17:39:4988.99:1.000
L-2019-05-14 15:59-2,LONG,2019-05-14 00:00,2019-05-14 15:59,2019-05-14 16:00,8034.01,8034.01,2019-05-14 16:00,7900.00,8366.00,466.00,7876.30,1.9630,2019-05-14 16:04,stop,-0.020830,-20.830,-0.01061,0.509,0.000700,0.000000,-0.01963,0.00000,0.000,0.08,1,800,2019-05-14 15:59,2019-05-14 16:00,stop@2019-05-14 16:04:7876.30:1.000
L-2019-05-17 07:59-3,LONG,2019-05-17 00:00,2019-05-17 07:59,2019-05-17 08:00,7239.95,7239.95,2019-05-17 08:05,7000.00,7925.00,925.00,6979.00,3.6044,2019-05-17 12:24,stop,-0.037244,-37.244,-0.01033,0.277,0.000700,0.000000,-0.03604,0.01182,0.328,4.33,1,814,2019-05-17 07:59,2019-05-17 08:05,stop@2019-05-17 12:24:6979.00:1.000
L-2019-05-29 19:59-4,LONG,2019-05-30 00:00,2019-05-29 19:59,2019-05-30 00:00,8605.54,8605.54,2019-05-30 00:05,8527.23,8750.00,222.77,8501.65,1.2073,2019-05-30 20:19,stop,0.014994,14.994,0.01242,0.828,0.000550,0.000175,-0.01207,0.05447,4.511,20.25,2,890,2019-05-29 23:59,2019-05-30 00:05,tp@2019-05-30 15:59:8926.73:0.250;tp@2019-05-30 16:04:9041.84:0.250;stop@2019-05-30 20:19:8501.65:0.500
L-2019-06-25 15:59-5,LONG,2019-06-25 00:00,2019-06-25 15:59,2019-06-25 16:00,11272.18,11272.18,2019-06-25 17:40,11157.91,11499.24,341.33,11124.44,1.3107,2019-06-26 05:14,tp,0.085080,85.080,0.06491,0.763,0.000400,0.000075,-0.00055,0.14460,11.033,11.58,1,1050,2019-06-25 15:59,2019-06-25 17:40,tp@2019-06-25 22:59:11749.27:0.250;tp@2019-06-26 00:49:11969.10:0.250;tp@2019-06-26 04:04:12325.73:0.250;tp@2019-06-26 05:14:12902.19:0.250
L-2019-06-29 07:59-6,LONG,2019-06-29 00:00,2019-06-29 07:59,2019-06-29 08:00,11757.37,11757.37,2019-06-29 08:30,11500.00,12441.54,941.54,11465.50,2.4824,2019-06-30 13:49,stop,-0.015341,-15.341,-0.00618,0.403,0.000625,0.000225,-0.02482,0.04139,1.667,29.33,1,1072,2019-06-29 07:59,2019-06-29 08:30,tp@2019-06-29 11:44:11969.10:0.250;stop@2019-06-30 13:49:11465.50:0.750
L-2019-07-11 03:59-7,LONG,2019-07-11 00:00,2019-07-11 03:59,2019-07-11 04:00,11755.98,11755.98,2019-07-11 04:00,11569.00,12212.29,643.29,11534.29,1.8857,2019-07-11 04:19,stop,-0.020057,-20.057,-0.01064,0.530,0.000700,0.000000,-0.01886,0.00000,0.000,0.33,1,1143,2019-07-11 03:59,2019-07-11 04:00,stop@2019-07-11 04:19:11534.29:1.000
L-2019-07-21 03:59-8,LONG,2019-07-21 00:00,2019-07-21 03:59,2019-07-21 04:00,10716.00,10716.00,2019-07-21 04:00,10565.01,11068.99,503.98,10533.31,1.7048,2019-07-21 04:04,stop,-0.018248,-18.248,-0.01070,0.587,0.000700,0.000000,-0.01705,0.00000,0.000,0.08,1,1203,2019-07-21 03:59,2019-07-21 04:00,stop@2019-07-21 04:04:10533.31:1.000
L-2019-08-08 07:59-9,LONG,2019-08-08 00:00,2019-08-08 07:59,2019-08-08 08:00,11745.95,11745.95,2019-08-08 13:55,11616.00,12017.75,401.75,11581.15,1.4030,2019-08-08 17:29,stop,-0.015330,-15.330,-0.01093,0.713,0.000700,0.000100,-0.01403,0.00454,0.323,3.58,2,1313,2019-08-08 11:59,2019-08-08 13:55,stop@2019-08-08 17:29:11581.15:1.000
L-2019-11-29 23:59-10,LONG,2019-11-30 00:00,2019-11-29 23:59,2019-11-30 00:00,7538.68,7538.68,2019-11-30 14:25,7413.00,7850.00,437.00,7390.76,1.9621,2019-12-01 01:24,stop,-0.021021,-21.021,-0.01071,0.510,0.000700,0.000200,-0.01962,0.00988,0.504,11.00,4,1996,2019-11-30 11:59,2019-11-30 14:25,stop@2019-12-01 01:24:7390.76:1.000
L-2020-01-07 11:59-11,LONG,2020-01-07 00:00,2020-01-07 11:59,2020-01-07 12:00,7830.49,7830.49,2020-01-07 13:05,7758.29,7965.00,206.71,7735.02,1.2193,2020-01-07 16:04,stop,-0.008620,-8.620,-0.00707,0.820,0.000625,0.000075,-0.01219,0.00691,0.567,3.00,1,2224,2020-01-07 11:59,2020-01-07 13:05,tp@2020-01-07 14:34:7880.61:0.250;stop@2020-01-07 16:04:7735.02:0.750
L-2020-01-12 03:59-12,LONG,2020-01-12 00:00,2020-01-12 03:59,2020-01-12 04:00,8094.20,8094.20,2020-01-12 04:00,8003.16,8286.34,283.18,7979.15,1.4214,2020-02-19 21:50,v,0.157171,157.171,0.11058,0.704,0.000700,0.011600,-0.00473,0.29723,20.911,929.83,1,2252,2020-01-12 03:59,2020-01-12 04:00,v@2020-02-19 21:50:9465.93:1.000
L-2020-03-20 11:59-13,LONG,2020-03-20 00:00,2020-03-20 11:59,2020-03-20 12:00,6273.60,6273.60,2020-03-20 18:25,6055.55,6900.00,844.45,6037.38,3.7653,2020-03-20 20:09,stop,-0.038853,-38.853,-0.01032,0.266,0.000700,0.000000,-0.03765,0.01457,0.387,1.75,2,2662,2020-03-20 15:59,2020-03-20 18:25,stop@2020-03-20 20:09:6037.38:1.000
L-2020-03-21 15:59-14,LONG,2020-03-22 00:00,2020-03-21 15:59,2020-03-22 00:00,5975.83,5975.83,2020-03-22 12:15,5860.02,6275.00,414.98,5842.44,2.2321,2020-03-22 20:04,stop,-0.023621,-23.621,-0.01058,0.448,0.000700,0.000100,-0.02232,0.02851,1.277,7.83,6,2673,2020-03-22 11:59,2020-03-22 12:15,stop@2020-03-22 20:04:5842.44:1.000
L-2020-04-07 11:59-15,LONG,2020-04-07 00:00,2020-04-07 11:59,2020-04-07 12:00,7298.39,7298.39,2020-04-07 12:30,7226.07,7440.00,213.93,7204.39,1.2879,2020-04-07 20:04,stop,-0.007470,-7.470,-0.00580,0.776,0.000625,0.000075,-0.01288,0.01392,1.081,7.58,1,2769,2020-04-07 11:59,2020-04-07 12:30,tp@2020-04-07 13:34:7393.68:0.250;stop@2020-04-07 20:04:7204.39:0.750
L-2020-04-08 23:59-16,LONG,2020-04-09 00:00,2020-04-08 23:59,2020-04-09 00:00,7266.57,7266.57,2020-04-09 03:30,7200.00,7390.00,190.00,7178.40,1.2134,2020-04-09 11:59,stop,-0.013434,-13.434,-0.01107,0.824,0.000700,0.000100,-0.01213,0.01134,0.935,8.50,1,2778,2020-04-08 23:59,2020-04-09 03:30,stop@2020-04-09 11:59:7178.40:1.000
L-2020-04-26 07:59-17,LONG,2020-04-26 00:00,2020-04-26 07:59,2020-04-26 08:00,7524.17,7524.17,2020-04-26 15:05,7476.54,7583.00,106.46,7454.11,0.9311,2020-05-10 00:20,v,0.082605,82.605,0.08872,1.074,0.000550,0.002250,-0.00587,0.33795,36.295,321.25,2,2883,2020-04-26 11:59,2020-04-26 15:05,tp@2020-04-26 15:14:7608.16:0.250;tp@2020-04-29 02:09:7802.81:0.250;v@2020-05-10 00:20:8628.05:0.500
L-2020-05-23 23:59-18,LONG,2020-05-23 00:00,2020-05-23 23:59,2020-05-24 00:00,9139.26,9139.26,2020-05-24 00:05,9070.00,9247.63,177.63,9042.79,1.0555,2020-05-24 13:54,stop,-0.011855,-11.855,-0.01123,0.947,0.000700,0.000100,-0.01056,0.01737,1.646,13.83,1,3048,2020-05-23 23:59,2020-05-24 00:05,stop@2020-05-24 13:54:9042.79:1.000
L-2020-06-03 15:59-19,LONG,2020-06-04 00:00,2020-06-03 15:59,2020-06-04 00:00,9459.87,9459.87,2020-06-04 11:30,9365.21,9646.43,281.22,9337.11,1.2977,2020-06-11 16:54,stop,-0.001221,-1.221,-0.00094,0.771,0.000625,0.002125,-0.01298,0.05633,4.341,173.42,5,3116,2020-06-04 07:59,2020-06-04 11:30,tp@2020-06-10 18:39:9900.20:0.250;stop@2020-06-11 16:54:9337.11:0.750
L-2020-08-02 23:59-20,LONG,2020-08-03 00:00,2020-08-02 23:59,2020-08-03 00:00,11047.21,11047.21,2020-08-03 00:00,10931.00,11283.41,352.41,10898.21,1.3488,2020-08-26 00:00,dexit,0.043183,43.183,0.03202,0.741,0.000625,0.006250,-0.01007,0.12861,9.535,552.00,1,3474,2020-08-02 23:59,2020-08-03 00:00,tp@2020-08-17 15:49:12445.57:0.250;dexit@2020-08-26 00:00:11318.42:0.750
L-2020-09-01 19:59-21,LONG,2020-09-02 00:00,2020-09-01 19:59,2020-09-02 00:00,11892.68,11892.68,2020-09-02 00:35,11797.26,12050.85,253.59,11761.87,1.0999,2020-09-02 06:39,stop,-0.012199,-12.199,-0.01109,0.909,0.000700,0.000000,-0.01100,0.00373,0.339,6.08,2,3654,2020-09-01 23:59,2020-09-02 00:35,stop@2020-09-02 06:39:11761.87:1.000
L-2020-09-29 03:59-22,LONG,2020-09-29 00:00,2020-09-29 03:59,2020-09-29 04:00,10720.04,10720.04,2020-09-29 04:00,10626.00,10888.59,262.59,10594.12,1.1746,2020-10-01 16:19,stop,-0.013746,-13.746,-0.01170,0.851,0.000700,0.000800,-0.01175,0.01865,1.588,60.33,1,3817,2020-09-29 03:59,2020-09-29 04:00,stop@2020-10-01 16:19:10594.12:1.000
L-2020-10-28 03:59-23,LONG,2020-10-27 00:00,2020-10-28 03:59,2020-10-28 04:00,13625.59,13625.59,2020-10-28 07:10,13500.00,13859.48,359.48,13459.50,1.2190,2020-10-28 11:09,stop,-0.013490,-13.490,-0.01107,0.820,0.000700,0.000100,-0.01219,0.00587,0.482,4.00,1,3991,2020-10-28 03:59,2020-10-28 07:10,stop@2020-10-28 11:09:13459.50:1.000
L-2020-11-07 23:59-24,LONG,2020-11-08 00:00,2020-11-07 23:59,2020-11-08 00:00,14804.88,14804.88,2020-11-08 00:00,14560.00,15410.00,850.00,14516.32,1.9491,2020-12-12 00:00,dexit,0.157466,157.466,0.08079,0.513,0.000625,0.007650,-0.00682,0.34334,17.615,816.00,1,4056,2020-11-07 23:59,2020-11-08 00:00,tp@2020-11-08 01:34:14925.03:0.250;dexit@2020-12-12 00:00:18036.53:0.750
L-2020-12-28 07:59-25,LONG,2020-12-29 00:00,2020-12-28 07:59,2020-12-29 00:00,26169.16,26169.16,2020-12-29 05:10,25700.00,27356.30,1656.30,25622.90,2.0874,2021-01-02 16:34,tp,0.171692,171.692,0.08225,0.479,0.000400,0.001225,-0.01105,0.24212,11.599,107.42,6,4363,2020-12-29 03:59,2020-12-29 05:10,tp@2021-01-01 01:29:29386.62:0.250;tp@2021-01-02 12:24:29981.25:0.250;tp@2021-01-02 13:39:30945.87:0.250;tp@2021-01-02 16:34:32505.13:0.250
L-2021-01-03 15:59-26,LONG,2020-12-31 00:00,2021-01-03 15:59,2021-01-03 16:00,33072.94,33072.94,2021-01-03 16:45,32450.00,34670.41,2220.41,32352.65,2.1779,2021-01-03 18:39,stop,-0.022979,-22.979,-0.01055,0.459,0.000700,0.000000,-0.02178,0.00787,0.362,1.92,1,4396,2021-01-03 15:59,2021-01-03 16:45,stop@2021-01-03 18:39:32352.65:1.000
L-2021-01-09 03:59-27,LONG,2021-01-09 00:00,2021-01-09 03:59,2021-01-09 04:00,39318.10,39318.10,2021-01-09 05:55,38652.00,40976.13,2324.13,38536.04,1.9890,2021-01-10 12:09,stop,-0.010145,-10.145,-0.00510,0.503,0.000625,0.000325,-0.01989,0.05244,2.637,30.25,1,4429,2021-01-09 03:59,2021-01-09 05:55,tp@2021-01-09 09:04:40277.14:0.250;stop@2021-01-10 12:09:38536.04:0.750
L-2021-01-14 23:59-28,LONG,2021-01-15 00:00,2021-01-14 23:59,2021-01-15 00:00,38362.89,38362.89,2021-01-15 04:15,37707.00,40000.00,2293.00,37593.88,2.0046,2021-01-15 06:09,stop,-0.021246,-21.246,-0.01060,0.499,0.000700,0.000000,-0.02005,0.01270,0.633,1.92,2,4465,2021-01-15 03:59,2021-01-15 04:15,stop@2021-01-15 06:09:37593.88:1.000
L-2021-01-26 03:59-29,LONG,2021-01-26 00:00,2021-01-26 03:59,2021-01-26 04:00,32375.92,32375.92,2021-01-26 04:00,31910.00,33473.92,1563.92,31814.27,1.7348,2021-01-26 04:04,stop,-0.018548,-18.548,-0.01069,0.576,0.000700,0.000000,-0.01735,0.00000,0.000,0.08,1,4531,2021-01-26 03:59,2021-01-26 04:00,stop@2021-01-26 04:04:31814.27:1.000
L-2021-02-09 15:59-30,LONG,2021-02-09 00:00,2021-02-09 15:59,2021-02-09 16:00,46258.00,46258.00,2021-02-09 16:15,45560.97,47928.23,2367.26,45424.29,1.8023,2021-02-10 12:34,stop,-0.019423,-19.423,-0.01078,0.555,0.000700,0.000200,-0.01802,0.02684,1.489,20.33,1,4618,2021-02-09 15:59,2021-02-09 16:15,stop@2021-02-10 12:34:45424.29:1.000
L-2021-02-10 19:59-31,LONG,2021-02-11 00:00,2021-02-10 19:59,2021-02-11 00:00,44536.67,44536.67,2021-02-11 00:10,43727.00,46593.34,2866.34,43595.82,2.1125,2021-02-23 04:40,v,0.112065,112.065,0.05305,0.473,0.000625,0.002725,-0.01218,0.31022,14.685,292.50,2,4626,2021-02-10 23:59,2021-02-11 00:10,tp@2021-02-11 10:59:46306.99:0.250;v@2021-02-23 04:40:50800.17:0.750
L-2021-03-05 23:59-32,LONG,2021-03-06 00:00,2021-03-05 23:59,2021-03-06 00:00,47632.56,47632.56,2021-03-06 12:10,46885.00,49448.93,2563.93,46744.35,1.8647,2021-03-06 13:00,v,-0.000108,-0.108,-0.00006,0.536,0.000700,0.000000,-0.00484,0.00465,0.249,0.83,4,4767,2021-03-06 11:59,2021-03-06 12:10,v@2021-03-06 13:00:47660.75:1.000
L-2021-03-15 23:59-33,LONG,2021-03-16 00:00,2021-03-15 23:59,2021-03-16 00:00,55662.53,55662.53,2021-03-16 00:00,55050.00,56940.00,1890.00,54884.85,1.3971,2021-03-16 00:05,v,0.001943,1.943,0.00139,0.716,0.000700,0.000000,-0.00723,0.00303,0.217,0.08,1,4824,2021-03-15 23:59,2021-03-16 00:00,v@2021-03-16 00:05:55809.62:1.000
L-2021-03-20 11:59-34,LONG,2021-03-20 00:00,2021-03-20 11:59,2021-03-20 12:00,58343.68,58343.68,2021-03-20 20:20,57820.17,59299.00,1478.83,57646.71,1.1946,2021-03-21 02:34,stop,-0.013246,-13.246,-0.01109,0.837,0.000700,0.000100,-0.01195,0.01125,0.942,6.25,3,4853,2021-03-20 19:59,2021-03-20 20:20,stop@2021-03-21 02:34:57646.71:1.000
L-2021-04-19 19:59-35,LONG,2021-04-20 00:00,2021-04-19 19:59,2021-04-20 00:00,55075.58,55075.58,2021-04-20 00:20,54221.58,57142.20,2920.62,54058.92,1.8459,2021-04-20 06:44,stop,-0.019659,-19.659,-0.01065,0.542,0.000700,0.000000,-0.01846,0.00746,0.404,6.42,2,5034,2021-04-19 23:59,2021-04-20 00:20,stop@2021-04-20 06:44:54058.92:1.000
L-2021-05-01 07:59-36,LONG,2021-04-30 00:00,2021-05-01 07:59,2021-05-01 08:00,57036.60,57036.60,2021-05-01 15:25,56374.21,58458.07,2083.86,56205.09,1.4579,2021-05-02 04:04,stop,-0.015979,-15.979,-0.01096,0.686,0.000700,0.000200,-0.01458,0.01687,1.157,12.67,2,5103,2021-05-01 11:59,2021-05-01 15:25,stop@2021-05-02 04:04:56205.09:1.000
L-2021-05-03 11:59-37,LONG,2021-05-03 00:00,2021-05-03 11:59,2021-05-03 12:00,57276.03,57276.03,2021-05-03 13:50,56525.00,58981.44,2456.44,56355.43,1.6073,2021-05-04 00:34,stop,-0.017473,-17.473,-0.01087,0.622,0.000700,0.000200,-0.01607,0.01611,1.003,10.75,1,5115,2021-05-03 11:59,2021-05-03 13:50,stop@2021-05-04 00:34:56355.43:1.000
L-2021-05-11 11:59-38,LONG,2021-05-12 00:00,2021-05-11 11:59,2021-05-12 00:00,54963.92,54963.92,2021-05-12 16:15,54370.00,56190.00,1820.00,54206.89,1.3773,2021-05-12 18:19,stop,-0.014973,-14.973,-0.01087,0.726,0.000700,0.000000,-0.01377,0.00665,0.483,2.08,8,5170,2021-05-12 15:59,2021-05-12 16:15,stop@2021-05-12 18:19:54206.89:1.000
L-2021-05-27 15:59-39,LONG,2021-05-28 00:00,2021-05-27 15:59,2021-05-28 00:00,38075.35,38075.35,2021-05-28 00:05,37204.76,40411.14,3206.38,37093.15,2.5796,2021-05-28 05:44,stop,-0.026996,-26.996,-0.01047,0.388,0.000700,0.000000,-0.02580,0.02108,0.817,5.67,3,5262,2021-05-27 23:59,2021-05-28 00:05,stop@2021-05-28 05:44:37093.15:1.000
L-2021-06-02 23:59-40,LONG,2021-06-03 00:00,2021-06-02 23:59,2021-06-03 00:00,37439.96,37439.96,2021-06-03 00:10,37058.61,38200.00,1141.39,36947.43,1.3155,2021-06-04 05:14,stop,-0.014655,-14.655,-0.01114,0.760,0.000700,0.000300,-0.01316,0.05438,4.134,29.08,1,5298,2021-06-02 23:59,2021-06-03 00:10,stop@2021-06-04 05:14:36947.43:1.000
L-2021-06-16 23:59-41,LONG,2021-06-17 00:00,2021-06-16 23:59,2021-06-17 00:00,38755.99,38755.99,2021-06-17 00:00,38301.68,39735.52,1433.84,38186.77,1.4687,2021-06-17 17:19,stop,-0.016087,-16.087,-0.01095,0.681,0.000700,0.000200,-0.01469,0.02074,1.412,17.33,1,5382,2021-06-16 23:59,2021-06-17 00:00,stop@2021-06-17 17:19:38186.77:1.000
L-2021-07-04 15:59-42,LONG,2021-07-05 00:00,2021-07-04 15:59,2021-07-05 00:00,34977.55,34977.55,2021-07-05 00:00,34621.41,35687.18,1065.77,34517.55,1.3151,2021-07-05 01:34,stop,-0.014351,-14.351,-0.01091,0.760,0.000700,0.000000,-0.01315,0.00904,0.687,1.58,3,5490,2021-07-04 23:59,2021-07-05 00:00,stop@2021-07-05 01:34:34517.55:1.000
L-2021-08-02 03:59-43,LONG,2021-08-02 00:00,2021-08-02 03:59,2021-08-02 04:00,40032.15,40032.15,2021-08-02 04:00,39422.01,41500.00,2077.99,39303.74,1.8196,2021-08-02 12:14,stop,-0.019496,-19.496,-0.01071,0.550,0.000700,0.000100,-0.01820,0.01119,0.615,8.25,1,5659,2021-08-02 03:59,2021-08-02 04:00,stop@2021-08-02 12:14:39303.74:1.000
L-2021-08-21 23:59-44,LONG,2021-08-21 00:00,2021-08-21 23:59,2021-08-22 00:00,48892.53,48892.53,2021-08-22 00:00,48434.07,49757.04,1322.97,48288.77,1.2349,2021-08-22 14:54,stop,-0.007715,-7.715,-0.00625,0.810,0.000625,0.000100,-0.01235,0.01242,1.006,14.92,1,5778,2021-08-21 23:59,2021-08-22 00:00,tp@2021-08-22 10:24:49410.14:0.250;stop@2021-08-22 14:54:48288.77:0.750
