candidate_id,D_arm_time,P0,H1,D_size,R_low,R_high,R_size,R_confirm_time,entry_level,entry_time,stop_level,stop_dist_pct,atr_idx,atr_end_time,decision_time,year,arm_index,partial_fine,in_A1
0.236-1,2019-04-13 00:00,4927.00,5332.67,405.67,5004.00,5078.70,74.70,2019-04-13 19:59,5036.69,2019-04-13 20:10,4988.99,0.9472,615,2019-04-13 19:59,2019-04-13 20:10,2019,2,0,1
0.236-2,2019-05-14 00:00,6372.85,8100.00,1727.15,7900.00,8366.00,466.00,2019-05-14 15:59,8034.01,2019-05-14 16:00,7876.30,1.9630,800,2019-05-14 15:59,2019-05-14 16:00,2019,3,0,1
0.236-3,2019-05-17 00:00,6870.00,8366.00,1496.00,7000.00,7925.00,925.00,2019-05-17 07:59,7239.95,2019-05-17 08:05,6979.00,3.6044,814,2019-05-17 07:59,2019-05-17 08:05,2019,1,0,1
0.236-4,2019-05-30 00:00,7833.42,8908.32,1074.90,8527.23,8750.00,222.77,2019-05-29 19:59,8605.54,2019-05-30 00:05,8501.65,1.2073,890,2019-05-29 23:59,2019-05-30 00:05,2019,1,0,1
0.236-5,2019-06-25 00:00,9921.72,11392.64,1470.92,11157.91,11499.24,341.33,2019-06-25 15:59,11272.18,2019-06-25 17:40,11124.44,1.3107,1050,2019-06-25 15:59,2019-06-25 17:40,2019,3,0,1
0.236-6,2019-06-29 00:00,10525.10,13478.04,2952.94,11500.00,12441.54,941.54,2019-06-29 07:59,11757.37,2019-06-29 08:30,11465.50,2.4824,1072,2019-06-29 07:59,2019-06-29 08:30,2019,2,0,1
0.236-7,2019-07-11 00:00,11220.00,13147.08,1927.08,11569.00,12212.29,643.29,2019-07-11 03:59,11755.98,2019-07-11 04:00,11534.29,1.8857,1143,2019-07-11 03:59,2019-07-11 04:00,2019,1,0,1
0.236-8,2019-07-21 00:00,9252.00,11068.99,1816.99,10565.01,11068.99,503.98,2019-07-21 03:59,10716.00,2019-07-21 04:00,10533.31,1.7048,1203,2019-07-21 03:59,2019-07-21 04:00,2019,2,0,1
0.236-9,2019-08-08 00:00,10927.80,12330.70,1402.90,11616.00,12017.75,401.75,2019-08-08 07:59,11745.95,2019-08-08 13:55,11581.15,1.4030,1312,2019-08-08 07:59,2019-08-08 13:55,2019,2,0,1
0.236-10,2019-11-30 00:00,6840.00,7850.00,1010.00,7413.00,7850.00,437.00,2019-11-29 23:59,7538.68,2019-11-30 14:25,7390.76,1.9621,1993,2019-11-29 23:59,2019-11-30 14:25,2019,1,0,1
