version,candidate_id,entry_time,entry_px,year,r_6h,r_24h,r_3d,r_7d,r_14d,r_30d,base_mean_6h,base_mean_24h,base_mean_3d,base_mean_7d,base_mean_14d,base_mean_30d,excess_6h,excess_24h,excess_3d,excess_7d,excess_14d,excess_30d
V2,0.236-1,2019-04-13 20:10,5036.69,2019,0.00264,0.00735,0.02200,0.05109,0.05458,0.44067,-0.00146,-0.00059,-0.00638,0.01857,0.04577,0.29562,0.00410,0.00793,0.02839,0.03252,0.00881,0.14505
V2,0.236-2,2019-05-14 16:00,8034.01,2019,-0.02956,-0.00159,-0.13209,-0.02026,0.07710,0.01477,0.00956,0.02994,0.05267,0.06360,0.14379,0.13517,-0.03912,-0.03153,-0.18476,-0.08386,-0.06668,-0.12041
V2,0.236-3,2019-05-17 08:05,7239.95,2019,0.00136,0.01397,0.07995,0.08568,0.13506,0.25019,0.00786,0.03694,0.04163,0.06255,0.11789,0.12491,-0.00649,-0.02297,0.03832,0.02312,0.01716,0.12527
V2,0.236-4,2019-05-30 00:05,8605.54,2019,0.01215,-0.03442,-0.00432,-0.10354,-0.05867,0.36821,0.00683,0.00992,-0.00360,-0.03998,-0.01600,0.28520,0.00532,-0.04434,-0.00072,-0.06357,-0.04266,0.08302
V2,0.236-5,2019-06-25 17:40,11272.18,2019,0.04593,0.18017,0.05667,-0.04751,0.10738,-0.11965,-0.00601,0.01077,0.02083,-0.02081,0.02902,-0.13797,0.05194,0.16940,0.03584,-0.02670,0.07836,0.01832
V2,0.236-6,2019-06-29 08:30,11757.37,2019,0.02200,0.00323,-0.15592,-0.03693,-0.01922,-0.20164,-0.01127,-0.01378,-0.02773,-0.02036,-0.03447,-0.16951,0.03326,0.01702,-0.12819,-0.01657,0.01525,-0.03213
V2,0.236-7,2019-07-11 04:00,11755.98,2019,-0.02547,-0.05464,-0.03877,-0.19283,-0.15204,0.00516,-0.00627,-0.02926,-0.06717,-0.12288,-0.15755,-0.00911,-0.01919,-0.02537,0.02839,-0.06995,0.00551,0.01427
V2,0.236-8,2019-07-21 04:00,10716.00,2019,-0.00946,-0.00851,-0.10698,-0.12164,0.00157,0.00707,-0.00699,-0.01285,-0.02239,-0.03289,0.06291,0.00768,-0.00247,0.00434,-0.08459,-0.08875,-0.06134,-0.00061
V2,0.236-9,2019-08-08 13:55,11745.95,2019,-0.01114,0.00704,-0.02952,-0.15937,-0.14921,-0.12419,0.00070,0.00314,-0.03083,-0.08448,-0.12408,-0.10949,-0.01184,0.00390,0.00131,-0.07489,-0.02513,-0.01471
V2,0.236-10,2019-11-30 14:25,7538.68,2019,-0.00770,-0.01468,-0.03132,-0.00169,-0.05468,-0.02900,-0.00078,0.00540,0.01330,-0.00283,-0.04002,-0.01693,-0.00692,-0.02008,-0.04462,0.00114,-0.01466,-0.01207
V2,0.236-11,2020-01-07 13:05,7830.49,2020,0.03039,0.05348,0.00563,0.08335,0.09999,0.22894,0.00738,0.01389,0.05496,0.09514,0.10651,0.22405,0.02302,0.03959,-0.04933,-0.01179,-0.00652,0.00489
V2,0.236-12,2020-01-12 04:00,8094.20,2020,0.00318,0.00010,0.07275,0.12282,0.03241,0.18343,-0.00113,0.01294,0.03612,0.04515,0.05998,0.19557,0.00431,-0.01284,0.03663,0.07767,-0.02757,-0.01214
V2,0.236-13,2020-01-17 12:20,8785.85,2020,0.01373,0.01212,-0.02199,-0.04678,0.05660,0.12433,0.00125,0.00471,0.01154,-0.00207,0.06237,0.15995,0.01248,0.00741,-0.03354,-0.04471,-0.00577,-0.03562
V2,0.236-14,2020-01-28 15:00,8988.54,2020,0.00959,0.03488,0.03177,0.02144,0.09246,-0.01277,0.00173,0.00700,0.02552,0.06238,0.11258,0.01117,0.00786,0.02789,0.00625,-0.04095,-0.02013,-0.02394
V2,0.236-15,2020-02-19 20:35,10097.65,2020,-0.06000,-0.05478,-0.04146,-0.13573,-0.14753,-0.53983,-0.00473,-0.00736,-0.01946,-0.06887,-0.11610,-0.52631,-0.05527,-0.04742,-0.02200,-0.06686,-0.03143,-0.01352
V2,0.236-16,2020-03-20 18:25,6273.60,2020,-0.02739,-0.01232,0.00372,0.05632,0.07077,0.13053,-0.00038,0.02429,0.04189,0.04173,0.12950,0.16427,-0.02700,-0.03661,-0.03817,0.01459,-0.05873,-0.03375
V2,0.236-17,2020-03-22 12:15,5975.83,2020,-0.00116,0.04050,0.09246,0.02024,0.12724,0.13145,0.01220,0.03562,0.06283,0.08498,0.13214,0.18005,-0.01336,0.00488,0.02963,-0.06474,-0.00490,-0.04860
V2,0.236-18,2020-04-07 12:30,7298.39,2020,0.00246,-0.00467,-0.05529,-0.06684,-0.06587,0.24185,0.00152,-0.00125,0.00351,0.00013,0.03562,0.27009,0.00095,-0.00342,-0.05881,-0.06697,-0.10149,-0.02824
V2,0.236-19,2020-04-09 03:30,7266.57,2020,0.00779,-0.00665,-0.06301,-0.09287,-0.01851,0.30633,-0.00014,-0.01392,-0.02027,0.00201,0.05063,0.25538,0.00793,0.00727,-0.04274,-0.09489,-0.06913,0.05095
V2,0.236-20,2020-04-26 15:05,7524.17,2020,0.01620,0.01788,0.10042,0.15642,0.13591,0.15903,0.00283,0.01978,0.04971,0.14723,0.21453,0.18420,0.01337,-0.00190,0.05072,0.00919,-0.07862,-0.02517
V2,0.236-21,2020-05-10 00:00,9613.65,2020,-0.11120,-0.09305,-0.08635,-0.02739,-0.04789,0.02093,-0.00583,-0.00390,0.00477,0.04454,-0.01034,0.05225,-0.10537,-0.08916,-0.09112,-0.07193,-0.03754,-0.03132
