version,test,run,n_trades,blocked,sizing,pf,sum_pm,ret,cagr,mdd,mtm_mdd_close,wr,exp,worst,sharpe,sortino
V2,F1_taker,0,79,0,risk1%,1.2682,213.6474,13.9189,1.7538,17.2930,21.3166,25.3165,0.2164,11.0000,0.2104,0.7429
V2,F1_taker,0,79,0,30%x10x,1.1538,213.6474,-42.8013,-7.1822,79.2667,81.6846,25.3165,0.8113,11.0000,0.1291,0.3498
V2,F1_taker,1,79,0,risk1%,1.2242,300.8508,10.1596,1.2993,16.5520,20.9741,24.0506,0.1769,11.0000,0.1653,0.6182
V2,F1_taker,1,79,0,30%x10x,1.2329,300.8508,-21.1202,-3.1157,73.9328,79.6889,24.0506,1.1425,11.0000,0.1851,0.5490
V2,F1_taker,2,79,0,risk1%,1.5078,313.8352,30.1474,3.5780,17.1252,21.1087,24.0506,0.4115,11.0000,0.3213,1.4107
V2,F1_taker,2,79,0,30%x10x,1.2410,313.8352,-17.7291,-2.5701,70.1743,77.2381,24.0506,1.1918,11.0000,0.1924,0.5881
V2,F1_taker,3,79,0,risk1%,1.3044,205.3655,15.3655,1.9253,17.7654,20.0333,25.3165,0.2417,11.0000,0.2141,0.8365
V2,F1_taker,3,79,0,30%x10x,1.1463,205.3655,-44.3436,-7.5201,77.4607,79.3394,25.3165,0.7799,11.0000,0.1235,0.3421
V2,F1_taker,4,79,0,risk1%,1.3347,253.4249,18.1606,2.2514,19.5668,20.1793,22.7848,0.2732,11.0000,0.2415,0.9334
V2,F1_taker,4,79,0,30%x10x,1.1901,253.4249,-30.8910,-4.8100,75.7647,79.1895,22.7848,0.9624,11.0000,0.1559,0.4760
V2,F1_taker,5,79,0,risk1%,1.2467,271.6361,12.1003,1.5356,16.3185,21.2371,25.3165,0.1924,11.0000,0.1938,0.6762
V2,F1_taker,5,79,0,30%x10x,1.2069,271.6361,-26.6472,-4.0501,75.2050,78.5891,25.3165,1.0315,11.0000,0.1685,0.4865
V2,F1_taker,6,79,0,risk1%,1.3001,421.2489,15.4870,1.9396,16.2300,20.3671,25.3165,0.2379,11.0000,0.2210,0.8227
V2,F1_taker,6,79,0,30%x10x,1.3363,421.2489,11.4172,1.4528,73.1643,80.2727,25.3165,1.5997,11.0000,0.2563,0.8320
V2,F1_taker,7,79,0,risk1%,1.2759,144.4248,13.1168,1.6580,17.6849,19.0436,24.0506,0.2214,11.0000,0.1871,0.7685
V2,F1_taker,7,79,0,30%x10x,1.1027,144.4248,-51.6814,-9.2481,77.4105,81.1078,24.0506,0.5484,11.0000,0.0883,0.2421
V2,F1_taker,8,79,0,risk1%,1.2978,215.7449,14.3839,1.8092,17.7088,21.3617,24.0506,0.2410,11.0000,0.1950,0.8270
V2,F1_taker,8,79,0,30%x10x,1.1567,215.7449,-40.7859,-6.7524,73.2628,77.7518,24.0506,0.8193,11.0000,0.1309,0.3755
V2,F1_taker,9,79,0,risk1%,1.6452,212.4060,38.3787,4.4290,17.3795,20.8645,24.0506,0.5147,11.0000,0.3403,1.7787
V2,F1_taker,9,79,0,30%x10x,1.1547,212.4060,-41.1819,-6.8358,79.2420,81.0709,24.0506,0.8066,11.0000,0.1288,0.3669
V2,F1_taker,10,79,0,risk1%,1.5222,228.4993,29.2610,3.4836,17.0360,19.8142,25.3165,0.4187,11.0000,0.2910,1.4424
V2,F1_taker,10,79,0,30%x10x,1.1675,228.4993,-37.2869,-6.0354,73.7542,79.7651,25.3165,0.8677,11.0000,0.1396,0.4029
V2,F1_taker,11,79,0,risk1%,1.3443,366.9705,17.5927,2.1856,17.3511,20.7661,24.0506,0.2672,11.0000,0.2339,0.9421
V2,F1_taker,11,79,0,30%x10x,1.3047,366.9705,-0.2423,-0.0324,70.5543,77.2272,24.0506,1.3936,11.0000,0.2284,0.7189
V2,F1_taker,12,79,0,risk1%,1.3745,307.3899,20.3720,2.5046,14.2226,18.6415,26.5823,0.2955,11.0000,0.2621,1.0244
V2,F1_taker,12,79,0,30%x10x,1.2315,307.3899,-24.1892,-3.6273,75.4612,79.4094,26.5823,1.1673,11.0000,0.1858,0.5143
V2,F1_taker,13,79,0,risk1%,1.2833,240.1588,13.8414,1.7446,17.0154,19.5395,24.0506,0.2227,11.0000,0.2008,0.7782
V2,F1_taker,13,79,0,30%x10x,1.1766,240.1588,-35.9526,-5.7711,74.8720,80.4524,24.0506,0.9120,11.0000,0.1461,0.4205
V2,F1_taker,14,79,0,risk1%,1.3395,326.1389,17.7958,2.2092,18.0222,21.0213,24.0506,0.2711,11.0000,0.2342,0.9399
V2,F1_taker,14,79,0,30%x10x,1.2566,326.1389,-13.2681,-1.8812,74.0235,75.5719,24.0506,1.2385,11.0000,0.2007,0.6448
V2,F1_taker,15,79,0,risk1%,1.3612,288.3705,19.2265,2.3739,15.4652,22.9247,24.0506,0.2878,11.0000,0.2457,0.9967
V2,F1_taker,15,79,0,30%x10x,1.2255,288.3705,-21.8890,-3.2422,74.4253,80.1387,24.0506,1.0951,11.0000,0.1787,0.5432
V2,F1_taker,16,79,0,risk1%,1.5488,188.0160,30.6064,3.6267,14.8504,20.4564,25.3165,0.4343,11.0000,0.2970,1.5037
