version,signal_id,entry_time,entry,stop0,P0,R_window_start,R_window_end,window_end_reason,exit_time,exit_reason,r_net,ret_risk1pct,hold_h
V2,L-2019-04-13 19:59-1,2019-04-13 20:10,5036.69,4988.99,4927.00,2019-04-13 20:00,2019-04-14 00:00,DISARM,2019-04-15 17:39,stop,-0.011272,-0.01190,45.5
V2,L-2019-05-14 15:59-2,2019-05-14 16:00,8034.01,7876.30,6372.85,2019-05-14 16:00,2019-05-14 16:05,R_invalid,2019-05-14 16:04,stop,-0.020830,-0.01061,0.1
V2,L-2019-05-17 07:59-3,2019-05-17 08:05,7239.95,6979.00,6870.00,2019-05-17 08:00,2019-05-17 12:25,R_invalid,2019-05-17 12:24,stop,-0.037244,-0.01033,4.3
V2,L-2019-05-29 19:59-4,2019-05-30 00:05,8605.54,8501.65,7833.42,2019-05-29 20:00,2019-05-30 08:00,R_replaced,2019-05-30 20:19,stop,0.014994,0.01242,20.2
V2,L-2019-06-25 15:59-5,2019-06-25 17:40,11272.18,11124.44,9921.72,2019-06-25 16:00,2019-06-26 00:00,R_replaced,2019-06-26 05:14,tp,0.085080,0.06491,11.6
V2,L-2019-06-29 07:59-6,2019-06-29 08:30,11757.37,11465.50,10525.10,2019-06-29 08:00,2019-06-29 16:00,R_replaced,2019-06-30 13:49,stop,-0.015341,-0.00618,29.3
V2,L-2019-07-11 03:59-7,2019-07-11 04:00,11755.98,11534.29,11220.00,2019-07-11 04:00,2019-07-11 04:20,R_invalid,2019-07-11 04:19,stop,-0.020057,-0.01064,0.3
V2,L-2019-07-21 03:59-8,2019-07-21 04:00,10716.00,10533.31,9252.00,2019-07-21 04:00,2019-07-21 04:05,R_invalid,2019-07-21 04:04,stop,-0.018248,-0.01070,0.1
V2,L-2019-08-08 07:59-9,2019-08-08 13:55,11745.95,11581.15,10927.80,2019-08-08 08:00,2019-08-08 17:30,R_invalid,2019-08-08 17:29,stop,-0.015330,-0.01093,3.6
V2,L-2019-11-29 23:59-10,2019-11-30 14:25,7538.68,7390.76,6840.00,2019-11-30 00:00,2019-11-30 16:00,R_replaced,2019-12-01 01:24,stop,-0.021021,-0.01071,11.0
V2,L-2020-01-07 11:59-11,2020-01-07 13:05,7830.49,7735.02,6871.04,2020-01-07 12:00,2020-01-07 15:55,R_invalid,2020-01-07 16:04,stop,-0.008620,-0.00707,3.0
V2,L-2020-01-12 03:59-12,2020-01-12 04:00,8094.20,7979.15,7672.00,2020-01-12 04:00,2020-01-12 12:00,R_replaced,2020-02-19 21:50,v,0.157171,0.11058,929.8
V2,L-2020-03-20 11:59-13,2020-03-20 18:25,6273.60,6037.38,4921.45,2020-03-20 12:00,2020-03-20 20:00,R_replaced,2020-03-20 20:09,stop,-0.038853,-0.01032,1.7
V2,L-2020-03-21 15:59-14,2020-03-22 12:15,5975.83,5842.44,5252.53,2020-03-21 16:00,2020-03-22 20:05,R_invalid,2020-03-22 20:04,stop,-0.023621,-0.01058,7.8
V2,L-2020-04-07 11:59-15,2020-04-07 12:30,7298.39,7204.39,6551.00,2020-04-07 12:00,2020-04-07 20:00,R_replaced,2020-04-07 20:04,stop,-0.007470,-0.00580,7.6
V2,L-2020-04-08 23:59-16,2020-04-09 03:30,7266.57,7178.40,6765.00,2020-04-09 00:00,2020-04-09 12:00,R_invalid,2020-04-09 11:59,stop,-0.013434,-0.01107,8.5
V2,L-2020-04-26 07:59-17,2020-04-26 15:05,7524.17,7454.11,7020.00,2020-04-26 08:00,2020-04-26 20:00,R_replaced,2020-05-10 00:20,v,0.082605,0.08872,321.2
V2,L-2020-05-23 23:59-18,2020-05-24 00:05,9139.26,9042.79,8815.00,2020-05-24 00:00,2020-05-24 13:50,R_invalid,2020-05-24 13:54,stop,-0.011855,-0.01123,13.8
V2,L-2020-06-03 15:59-19,2020-06-04 11:30,9459.87,9337.11,9266.00,2020-06-03 16:00,2020-06-04 16:00,R_replaced,2020-06-11 16:54,stop,-0.001221,-0.00094,173.4
V2,L-2020-08-02 23:59-20,2020-08-03 00:00,11047.21,10898.21,9917.21,2020-08-03 00:00,2020-08-03 16:00,R_replaced,2020-08-26 00:00,dexit,0.043183,0.03202,552.0
V2,L-2020-09-01 19:59-21,2020-09-02 00:35,11892.68,11761.87,11117.64,2020-09-01 20:00,2020-09-02 04:00,R_replaced,2020-09-02 06:39,stop,-0.012199,-0.01109,6.1
V2,L-2020-09-29 03:59-22,2020-09-29 04:00,10720.04,10594.12,10136.82,2020-09-29 04:00,2020-09-29 12:00,R_replaced,2020-10-01 16:19,stop,-0.013746,-0.01170,60.3
V2,L-2020-10-28 03:59-23,2020-10-28 07:10,13625.59,13459.50,11886.95,2020-10-28 04:00,2020-10-28 11:10,R_invalid,2020-10-28 11:09,stop,-0.013490,-0.01107,4.0
V2,L-2020-11-07 23:59-24,2020-11-08 00:00,14804.88,14516.32,14093.56,2020-11-08 00:00,2020-11-08 08:00,R_replaced,2020-12-12 00:00,dexit,0.157466,0.08079,816.0
V2,L-2020-12-28 07:59-25,2020-12-29 05:10,26169.16,25622.90,24500.00,2020-12-28 08:00,2020-12-29 12:00,R_replaced,2021-01-02 16:34,tp,0.171692,0.08225,107.4
V2,L-2021-01-03 15:59-26,2021-01-03 16:45,33072.94,32352.65,25880.00,2021-01-03 16:00,2021-01-03 18:40,R_invalid,2021-01-03 18:39,stop,-0.022979,-0.01055,1.9
V2,L-2021-01-09 03:59-27,2021-01-09 05:55,39318.10,38536.04,33288.00,2021-01-09 04:00,2021-01-09 12:00,R_replaced,2021-01-10 12:09,stop,-0.010145,-0.00510,30.2
