version,population,sid,entry_time,period,year,entry,stop,stop_pct,r_net,R_REAL,WIN2R,hold_d,RIDE7,result,RET100,MA200,VOL30,RET14,STOPPCT,DDEPTH
V2,P-A,L-2019-04-13 19:59-1,2019-04-13 20:10,DEV,2019,5036.69,4988.99,0.00947,-0.011272,-1.1900,0,1.90,0,stop,0.268700,0.097289,54.246575,0.207215,0.009472,0.729598
V2,P-A,L-2019-05-14 15:59-2,2019-05-14 16:00,DEV,2019,8034.01,7876.30,0.01963,-0.020830,-1.0611,0,0.00,0,stop,0.798807,0.806725,54.520548,0.396966,0.019630,0.038210
V2,P-A,L-2019-05-17 07:59-3,2019-05-17 08:05,DEV,2019,7239.95,6979.00,0.03604,-0.037244,-1.0333,0,0.18,0,stop,0.818012,0.620049,56.438356,0.359174,0.036044,0.752704
V2,P-A,L-2019-05-29 19:59-4,2019-05-30 00:05,DEV,2019,8605.54,8501.65,0.01207,0.014994,1.2420,0,0.84,0,stop,0.796442,0.881122,86.575342,0.056607,0.012073,0.281679
V2,P-A,L-2019-06-25 15:59-5,2019-06-25 17:40,DEV,2019,11272.18,11124.44,0.01311,0.085080,6.4913,1,0.48,0,tp,1.015238,1.210621,62.191781,0.325744,0.013107,0.081895
V2,P-A,L-2019-06-29 07:59-6,2019-06-29 08:30,DEV,2019,11757.37,11465.50,0.02482,-0.015341,-0.6180,0,1.22,0,stop,1.120750,1.229577,95.616438,0.360188,0.024824,0.582697
V2,P-A,L-2019-07-11 03:59-7,2019-07-11 04:00,DEV,2019,11755.98,11534.29,0.01886,-0.020057,-1.0636,0,0.01,0,stop,1.072100,1.044422,99.726027,-0.078242,0.018857,0.721870
V2,P-A,L-2019-07-21 03:59-8,2019-07-21 04:00,DEV,2019,10716.00,10533.31,0.01705,-0.018248,-1.0704,0,0.00,0,stop,0.761091,0.758688,99.452055,-0.046948,0.017048,0.194271
V2,P-A,L-2019-08-08 07:59-9,2019-08-08 13:55,DEV,2019,11745.95,11581.15,0.01403,-0.015330,-1.0927,0,0.15,0,stop,0.826857,0.755693,87.123288,0.204195,0.014030,0.416818
V2,P-A,L-2019-11-29 23:59-10,2019-11-30 14:25,DEV,2019,7538.68,7390.76,0.01962,-0.021021,-1.0714,0,0.46,0,stop,-0.270381,-0.199163,20.273973,-0.090374,0.019621,0.308237
V2,P-A,L-2020-01-07 11:59-11,2020-01-07 13:05,DEV,2020,7830.49,7735.02,0.01219,-0.008620,-0.7070,0,0.12,0,stop,-0.055264,-0.151314,35.342466,0.058512,0.012193,-0.038034
V2,P-A,L-2020-01-12 03:59-12,2020-01-12 04:00,DEV,2020,8094.20,7979.15,0.01421,0.157171,11.0576,1,38.74,1,v,-0.025112,-0.115815,48.493151,0.091857,0.014214,0.312758
V2,P-A,L-2020-03-20 11:59-13,2020-03-20 18:25,DEV,2020,6273.60,6037.38,0.03765,-0.038853,-1.0319,0,0.07,0,stop,-0.158965,-0.259056,100.000000,-0.384820,0.037653,0.085486
V2,P-A,L-2020-03-21 15:59-14,2020-03-22 12:15,DEV,2020,5975.83,5842.44,0.02232,-0.023621,-1.0582,0,0.33,0,stop,-0.151367,-0.290639,99.452055,-0.362104,0.022321,0.560964
V2,P-A,L-2020-04-07 11:59-15,2020-04-07 12:30,DEV,2020,7298.39,7204.39,0.01288,-0.007470,-0.5800,0,0.32,0,stop,0.001879,-0.101540,100.000000,0.125202,0.012879,0.070576
V2,P-A,L-2020-04-08 23:59-16,2020-04-09 03:30,DEV,2020,7266.57,7178.40,0.01213,-0.013434,-1.1071,0,0.35,0,stop,0.015784,-0.102364,97.808219,0.097501,0.012134,0.277988
V2,P-A,L-2020-04-26 07:59-17,2020-04-26 15:05,DEV,2020,7524.17,7454.11,0.00931,0.082605,8.8715,1,13.39,1,v,-0.145575,-0.057320,58.082192,0.091888,0.009311,0.263986
V2,P-A,L-2020-05-23 23:59-18,2020-05-24 00:05,DEV,2020,9139.26,9042.79,0.01056,-0.011855,-1.1232,0,0.58,0,stop,-0.108354,0.135642,66.849315,-0.038496,0.010555,0.575286
V2,P-A,L-2020-06-03 15:59-19,2020-06-04 11:30,DEV,2020,9459.87,9337.11,0.01298,-0.001221,-0.0941,0,7.23,1,stop,0.001046,0.171058,71.232877,0.016145,0.012977,0.798676
V2,P-A,L-2020-08-02 23:59-20,2020-08-03 00:00,DEV,2020,11047.21,10898.21,0.01349,0.043183,3.2016,1,23.00,1,dexit,0.388791,0.268620,21.917808,0.184181,0.013488,0.487818
