version,feature,population,period,tercile,n,mean_R,mean_R_top2rm,median_R,p_win2r,p_ride7,stop_rate,pr_p5,pr_p95
V2,RET100,P-A,DEV,0,22,0.0171,-0.9776,-1.0714,9.09,13.64,90.91,,
V2,RET100,P-A,DEV,1,16,0.3642,0.3642,-1.0871,18.75,18.75,75.00,,
V2,RET100,P-A,DEV,2,19,0.4457,0.4457,-1.0551,15.79,5.26,73.68,,
V2,RET100,P-S,DEV,0,22,0.0171,-0.9776,-1.0714,9.09,13.64,90.91,,
V2,RET100,P-S,DEV,1,22,0.2767,0.2767,-1.0871,18.18,18.18,77.27,,
V2,RET100,P-S,DEV,2,22,0.5927,0.5927,-1.0466,22.73,9.09,77.27,,
V2,RET100,P-R(median of runs),DEV,0,21.0,-0.1098,,-1.0788,9.52,4.76,71.43,0.00,14.29
V2,RET100,P-R(median of runs),DEV,1,15.0,-0.1789,,-1.1125,12.13,6.67,81.25,0.00,18.75
V2,RET100,P-R(median of runs),DEV,2,19.0,0.0815,,-1.0764,15.79,5.00,72.22,0.00,11.76
V2,RET100,P-A,TEST,0,8,6.0179,-1.1098,-1.1057,25.00,25.00,75.00,,
V2,RET100,P-A,TEST,1,16,0.6295,0.6295,-0.6960,31.25,12.50,68.75,,
V2,RET100,P-A,TEST,2,1,-1.1191,-1.1191,-1.1191,0.00,0.00,100.00,,
V2,RET100,P-S,TEST,0,8,6.0179,-1.1098,-1.1057,25.00,25.00,75.00,,
V2,RET100,P-S,TEST,1,26,0.3453,0.3453,-0.9184,23.08,11.54,76.92,,
V2,RET100,P-S,TEST,2,1,-1.1191,-1.1191,-1.1191,0.00,0.00,100.00,,
V2,RET100,P-R(median of runs),TEST,0,8.0,2.5259,,-0.9055,28.57,22.22,57.14,0.00,44.44
V2,RET100,P-R(median of runs),TEST,1,15.0,0.4423,,-1.1003,15.38,13.33,75.00,5.59,28.57
V2,RET100,P-R(median of runs),TEST,2,1.0,-0.6807,,-0.6807,0.00,0.00,100.00,0.00,100.00
V2,MA200,P-A,DEV,0,22,-0.0254,-1.0243,-1.0745,9.09,9.09,90.91,,
V2,MA200,P-A,DEV,1,16,0.4199,0.4199,-1.0871,18.75,25.00,75.00,,
V2,MA200,P-A,DEV,2,19,0.4480,0.4480,-1.0551,15.79,5.26,73.68,,
