version,signal_id,entry_date,year,period,RET100,MA200,VOL30,RET14,STOPPCT,DDEPTH,tercile_RET100,tercile_MA200,tercile_VOL30,tercile_RET14,tercile_STOPPCT,tercile_DDEPTH,c,k,grade,R_REAL,hold_days,result,regression_risk_tier(exit-aware),regression_signal_tier(+2R)
V2,L-2019-04-13 19:59-1,2019-04-13 20:10,2019,DEV,0.268700,0.097289,54.246575,0.207215,0.009472,0.729598,1,1,0,2,0,2,0,0,B,-1.1900,1.90,stop,B/C,B/C
V2,L-2019-05-14 15:59-2,2019-05-14 16:00,2019,DEV,0.798807,0.806725,54.520548,0.396966,0.019630,0.038210,2,2,1,2,2,0,0,0,B,-1.0611,0.00,stop,A,B/C
V2,L-2019-05-17 07:59-3,2019-05-17 08:05,2019,DEV,0.818012,0.620049,56.438356,0.359174,0.036044,0.752704,2,2,1,2,2,2,0,0,B,-1.0333,0.18,stop,A,B/C
V2,L-2019-05-29 19:59-4,2019-05-30 00:05,2019,DEV,0.796442,0.881122,86.575342,0.056607,0.012073,0.281679,2,2,2,1,0,1,0,0,B,1.2420,0.84,stop,A,A
V2,L-2019-06-25 15:59-5,2019-06-25 17:40,2019,DEV,1.015238,1.210621,62.191781,0.325744,0.013107,0.081895,2,2,1,2,0,0,0,0,B,6.4913,0.48,tp,A,A
V2,L-2019-06-29 07:59-6,2019-06-29 08:30,2019,DEV,1.120750,1.229577,95.616438,0.360188,0.024824,0.582697,2,2,2,2,2,2,0,0,B,-0.6180,1.22,stop,A,B/C
V2,L-2019-07-11 03:59-7,2019-07-11 04:00,2019,DEV,1.072100,1.044422,99.726027,-0.078242,0.018857,0.721870,2,2,2,0,2,2,0,0,B,-1.0636,0.01,stop,A,B/C
V2,L-2019-07-21 03:59-8,2019-07-21 04:00,2019,DEV,0.761091,0.758688,99.452055,-0.046948,0.017048,0.194271,2,2,2,0,2,0,0,0,B,-1.0704,0.00,stop,B/C,B/C
V2,L-2019-08-08 07:59-9,2019-08-08 13:55,2019,DEV,0.826857,0.755693,87.123288,0.204195,0.014030,0.416818,2,2,2,2,1,1,0,0,B,-1.0927,0.15,stop,A,B/C
V2,L-2019-11-29 23:59-10,2019-11-30 14:25,2019,DEV,-0.270381,-0.199163,20.273973,-0.090374,0.019621,0.308237,0,0,0,0,2,1,0,0,B,-1.0714,0.46,stop,B/C,B/C
V2,L-2020-01-07 11:59-11,2020-01-07 13:05,2020,DEV,-0.055264,-0.151314,35.342466,0.058512,0.012193,-0.038034,0,0,0,1,0,0,0,0,B,-0.7070,0.12,stop,B/C,B/C
V2,L-2020-01-12 03:59-12,2020-01-12 04:00,2020,DEV,-0.025112,-0.115815,48.493151,0.091857,0.014214,0.312758,0,0,0,1,1,1,0,0,B,11.0576,38.74,v,B/C,B/C
V2,L-2020-03-20 11:59-13,2020-03-20 18:25,2020,DEV,-0.158965,-0.259056,100.000000,-0.384820,0.037653,0.085486,0,0,2,0,2,0,0,0,B,-1.0319,0.07,stop,B/C,B/C
V2,L-2020-03-21 15:59-14,2020-03-22 12:15,2020,DEV,-0.151367,-0.290639,99.452055,-0.362104,0.022321,0.560964,0,0,2,0,2,2,0,0,B,-1.0582,0.33,stop,B/C,B/C
V2,L-2020-04-07 11:59-15,2020-04-07 12:30,2020,DEV,0.001879,-0.101540,100.000000,0.125202,0.012879,0.070576,1,0,2,1,0,0,0,0,B,-0.5800,0.32,stop,B/C,B/C
V2,L-2020-04-08 23:59-16,2020-04-09 03:30,2020,DEV,0.015784,-0.102364,97.808219,0.097501,0.012134,0.277988,1,0,2,1,0,1,0,0,B,-1.1071,0.35,stop,B/C,B/C
V2,L-2020-04-26 07:59-17,2020-04-26 15:05,2020,DEV,-0.145575,-0.057320,58.082192,0.091888,0.009311,0.263986,0,0,1,1,0,1,0,0,B,8.8715,13.39,v,B/C,B/C
V2,L-2020-05-23 23:59-18,2020-05-24 00:05,2020,DEV,-0.108354,0.135642,66.849315,-0.038496,0.010555,0.575286,0,1,1,0,0,2,0,0,B,-1.1232,0.58,stop,B/C,B/C
V2,L-2020-06-03 15:59-19,2020-06-04 11:30,2020,DEV,0.001046,0.171058,71.232877,0.016145,0.012977,0.798676,0,1,1,0,0,2,0,0,B,-0.0941,7.23,stop,B/C,B/C
V2,L-2020-08-02 23:59-20,2020-08-03 00:00,2020,DEV,0.388791,0.268620,21.917808,0.184181,0.013488,0.487818,1,1,0,2,1,2,0,0,B,3.2016,23.00,dexit,A,B/C
