kind,risk_or_mode,period,n,skipped,ret_pct,cagr,mdd_realized,mtm_mdd_close,mtm_mdd_low,max_consec_loss,worst_year,worst_year_ret,liq_count,pf,mean_R
uniform_ladder,0.005,ALL,82,0,39.409,4.532,7.691,10.446,10.634,11,2022,-4.135,0,2.1602,
uniform_ladder,0.0075,ALL,82,0,61.695,6.621,11.355,15.222,15.489,11,2022,-6.146,0,2.1602,
uniform_ladder,0.01,ALL,82,0,85.613,8.602,14.901,19.728,20.065,11,2022,-8.120,0,2.1602,
uniform_ladder,0.015,ALL,82,0,137.943,12.261,21.648,27.998,28.452,11,2022,-11.959,0,2.1602,
uniform_ladder,0.02,ALL,82,0,195.378,15.546,27.950,35.385,35.929,11,2022,-15.658,0,2.1602,
allocation,tiered,DEV,57,0,6.968,,7.691,,,11,,,,1.3286,0.2574
allocation,tiered,TEST,25,0,30.328,,3.181,,,4,,,,4.3177,2.2839
allocation,tiered,ALL,82,0,39.409,,7.691,,,11,,,,2.1602,0.8752
allocation,uniform,DEV,57,0,6.968,,7.691,,,11,,,,1.3286,0.2574
allocation,uniform,TEST,25,0,30.328,,3.181,,,4,,,,4.3177,2.2839
allocation,uniform,ALL,82,0,39.409,,7.691,,,11,,,,2.1602,0.8752
allocation,A_only,DEV,0,0,0.000,,0.000,,,0,,,,0.0000,0.0000
allocation,A_only,TEST,0,0,0.000,,0.000,,,0,,,,0.0000,0.0000
allocation,A_only,ALL,0,0,0.000,,0.000,,,0,,,,0.0000,0.0000
sequence_mc_mdd,p50,ALL,82,,,,7.548,,,12,,,,,
sequence_mc_mdd,p95,ALL,82,,,,13.934,,,21,,,,,
sequence_mc_mdd,p99,ALL,82,,,,17.943,,,28,,,,,
