idx,DMIN,R4,R_RATIO,ATR_MULT,TOL,n,cross_year,pf_2019,pf_2020,pf_2021,pf_2022,pf_2023,pf_2024,pf_2025,pf_2026,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,n_2026,pf_2022_26,ret_2022_26_30x10
0,0.06,0.236,0.1,1.0,0.003,109,1,1.133,3.895,1.540,0.000,3.329,1.418,0.000,0.000,17,14,27,16,8,13,9,5,0.8027,-47.13
1,0.06,0.236,0.1,1.0,0.005,110,1,1.228,3.370,1.347,0.000,2.435,1.414,1.434,0.252,17,14,27,17,9,12,9,5,0.8548,-36.76
2,0.06,0.236,0.1,1.5,0.003,88,1,17.292,2.017,2.154,0.000,1.020,0.545,1.376,0.000,8,17,21,14,8,8,8,4,0.5032,-56.53
3,0.06,0.236,0.1,1.5,0.005,89,1,10.569,2.514,1.892,0.000,1.538,0.452,1.150,0.238,9,16,21,15,8,8,8,4,0.5573,-55.73
4,0.06,0.236,0.2,1.0,0.003,101,1,1.313,3.088,1.632,0.000,1.686,1.676,0.000,0.000,15,14,26,15,8,11,8,4,0.6129,-53.01
5,0.06,0.236,0.2,1.0,0.005,101,1,1.428,2.687,1.426,0.000,3.061,1.752,1.613,0.362,15,14,26,16,8,10,8,4,0.9830,-19.77
6,0.06,0.236,0.2,1.5,0.003,84,1,17.292,2.017,2.346,0.000,1.020,0.627,2.904,0.000,8,17,20,14,8,7,7,3,0.6870,-41.09
7,0.06,0.236,0.2,1.5,0.005,86,1,10.569,2.514,2.056,0.000,1.538,0.577,2.036,0.335,9,16,20,15,8,7,8,3,0.7243,-40.73
8,0.06,0.382,0.1,1.0,0.003,103,1,1.133,2.590,1.722,0.000,3.355,1.703,0.000,0.000,17,14,26,15,8,11,8,4,0.8285,-43.56
9,0.06,0.382,0.1,1.0,0.005,100,1,1.228,2.916,1.536,0.000,5.283,1.776,1.648,0.362,17,14,26,15,6,10,8,4,1.0402,-13.68
10,0.06,0.382,0.1,1.5,0.003,88,1,1.691,2.694,2.177,0.000,1.020,0.465,2.138,0.000,11,16,21,13,8,9,7,3,0.5300,-53.73
11,0.06,0.382,0.1,1.5,0.005,88,1,1.543,2.735,2.078,0.000,1.538,0.376,1.758,0.335,12,15,21,13,8,9,7,3,0.5970,-51.10
12,0.06,0.382,0.2,1.0,0.003,93,1,1.313,2.787,2.115,0.000,1.686,2.469,0.000,0.000,15,13,24,14,8,8,7,4,0.6176,-50.69
13,0.06,0.382,0.2,1.0,0.005,90,1,1.428,3.176,1.866,0.000,5.283,2.991,1.931,0.362,15,13,24,14,6,7,7,4,1.1750,2.90
14,0.06,0.382,0.2,1.5,0.003,85,1,1.691,2.694,2.373,0.000,1.020,0.525,5.499,0.000,11,16,20,13,8,8,6,3,0.7010,-40.14
15,0.06,0.382,0.2,1.5,0.005,85,1,1.543,2.735,2.270,0.000,1.538,0.462,4.647,0.335,12,15,20,13,8,8,6,3,0.7755,-35.16
16,0.08,0.236,0.1,1.0,0.003,82,2,0.628,4.236,0.633,0.000,8.654,3.830,0.282,0.000,10,15,24,8,8,8,6,3,2.3673,129.81
17,0.08,0.236,0.1,1.0,0.005,85,2,0.548,4.534,0.582,0.000,7.258,2.938,1.950,0.000,10,15,24,10,8,9,6,3,2.2213,145.83
18,0.08,0.236,0.1,1.5,0.003,73,2,6.882,2.294,1.514,0.000,7.718,2.106,1.047,1.258,5,17,20,7,9,6,6,3,2.6514,194.75
19,0.08,0.236,0.1,1.5,0.005,76,2,5.935,2.777,1.216,0.000,6.879,2.523,0.890,1.046,5,18,21,8,9,6,6,3,2.4016,157.29
20,0.08,0.236,0.2,1.0,0.003,77,2,0.676,3.378,0.633,0.000,3.842,6.902,0.000,2.364,9,14,24,6,9,7,6,2,2.1361,81.42
