i,side,entry_bar,exit_bar,entry,stop0,expected,result,r_net,funding,mae,hold_h,age,fills
0,S,2019-12-15 12:00,2019-12-17 16:00,7135.1959,7217.5880,7135.1959,tp,0.032158,0.000304,-0.002075,56.0,1,tp@2019-12-16 16:00:6970.4116:0.500;tp@2019-12-16 16:00:6967.2820:0.125;tp@2019-12-16 16:00:6905.8120:0.125;tp@2019-12-17 12:00:6806.0940:0.125;tp@2019-12-17 16:00:6644.9060:0.125
1,S,2019-12-21 00:00,2019-12-22 16:00,7172.5856,7251.6900,7172.5856,stop,-0.011813,-0.000416,-0.003125,44.0,1,stop@2019-12-22 16:00:7251.6900:1.000
2,L,2020-01-08 16:00,2020-01-08 20:00,8098.0967,7928.1440,8098.0967,stop,-0.022287,0.000100,-0.016508,8.0,3,stop@2020-01-08 20:00:7928.1440:1.000
3,L,2020-01-12 04:00,2020-02-19 20:00,8096.1293,7979.8584,8096.1293,v,0.079345,0.026950,-0.005231,932.0,1,tp@2020-01-14 00:00:8328.6710:0.500;v@2020-02-19 20:00:9593.6500:0.500
4,S,2020-03-01 12:00,2020-03-02 08:00,8729.4709,8826.2295,8729.4709,stop,0.011738,-0.000454,-0.003754,24.0,7,tp@2020-03-01 16:00:8535.9537:0.500;stop@2020-03-02 08:00:8712.0120:0.500
5,S,2020-03-11 20:00,2020-03-12 08:00,7964.5427,8065.5342,7964.5427,tp,0.035940,-0.000118,-0.002945,16.0,4,tp@2020-03-12 00:00:7762.5597:0.500;tp@2020-03-12 00:00:7826.5520:0.125;tp@2020-03-12 00:00:7719.6320:0.125;tp@2020-03-12 04:00:7546.1840:0.125;tp@2020-03-12 08:00:7265.8160:0.125
6,S,2020-03-15 12:00,2020-03-15 20:00,5519.8074,5706.8293,5519.8074,stop,-0.035570,0.000488,-0.013912,12.0,2,stop@2020-03-15 20:00:5706.8293:1.000
7,L,2020-03-20 16:00,2020-03-20 20:00,6275.7870,6036.8350,6275.7870,stop,-0.039275,0.000000,-0.018886,8.0,2,stop@2020-03-20 20:00:6036.8350:1.000
8,L,2020-03-22 08:00,2020-03-22 12:00,6170.7469,6054.8009,6170.7469,stop,-0.020090,0.000100,-0.007414,8.0,1,stop@2020-03-22 12:00:6054.8009:1.000
9,L,2020-04-09 00:00,2020-04-09 08:00,7260.4442,7170.4240,7260.4442,stop,-0.013499,-0.000100,-0.003434,12.0,1,stop@2020-04-09 08:00:7170.4240:1.000
10,S,2020-04-15 04:00,2020-04-16 04:00,6914.5324,6996.5268,6914.5324,stop,0.022981,0.000058,-0.002092,28.0,1,tp@2020-04-15 08:00:6750.5436:0.500;tp@2020-04-15 20:00:6634.9023:0.125;tp@2020-04-16 00:00:6570.1284:0.125;stop@2020-04-16 04:00:6900.7033:0.250
11,S,2020-04-18 04:00,2020-04-18 12:00,7115.0630,7212.4928,7115.0630,stop,-0.015065,0.000171,-0.000432,12.0,7,stop@2020-04-18 12:00:7212.4928:1.000
12,L,2020-04-28 00:00,2020-04-29 12:00,7683.7831,7601.1081,7683.7831,tp,0.035740,0.000338,-0.002771,40.0,1,tp@2020-04-29 00:00:7849.1332:0.500;tp@2020-04-29 04:00:7882.1020:0.125;tp@2020-04-29 08:00:7970.9320:0.125;tp@2020-04-29 08:00:8115.0340:0.125;tp@2020-04-29 12:00:8347.9660:0.125
13,L,2020-05-24 00:00,2020-05-24 12:00,9143.9994,9049.6693,9143.9994,stop,-0.011695,0.000179,-0.006015,16.0,1,stop@2020-05-24 12:00:9049.6693:1.000
14,L,2020-06-04 08:00,2020-06-07 12:00,9472.4164,9354.1830,9472.4164,stop,0.012132,0.000550,-0.003422,80.0,5,tp@2020-06-04 12:00:9708.8831:0.500;stop@2020-06-07 12:00:9491.3612:0.500
15,S,2020-06-16 16:00,2020-06-22 12:00,9503.1261,9601.1272,9503.1261,stop,0.010889,-0.000377,-0.006932,144.0,1,tp@2020-06-17 16:00:9307.1238:0.500;stop@2020-06-22 12:00:9484.1198:0.500
16,S,2020-06-28 08:00,2020-06-28 16:00,9058.8607,9174.4410,9058.8607,stop,-0.013810,-0.000149,-0.012699,12.0,2,stop@2020-06-28 16:00:9174.4410:1.000
17,L,2020-08-03 00:00,2020-08-04 12:00,11038.7213,10882.6737,11038.7213,stop,0.013350,0.000987,-0.010483,40.0,1,tp@2020-08-03 12:00:11350.8163:0.500;stop@2020-08-04 12:00:11060.7987:0.500
18,L,2020-09-02 00:00,2020-09-02 04:00,11906.3929,11776.5640,11906.3929,stop,-0.012104,0.000000,-0.006015,8.0,2,stop@2020-09-02 04:00:11776.5640:1.000
19,S,2020-09-06 04:00,2020-09-06 20:00,10173.6396,10333.0966,10173.6396,stop,-0.016674,-0.000200,-0.012715,20.0,1,stop@2020-09-06 20:00:10333.0966:1.000
20,L,2020-09-29 04:00,2020-10-01 16:00,10720.7245,10595.3084,10720.7245,stop,-0.013673,0.000774,-0.008324,64.0,1,stop@2020-10-01 16:00:10595.3084:1.000
21,L,2020-10-28 04:00,2020-10-28 08:00,13636.1876,13472.2018,13636.1876,stop,-0.013326,0.000100,-0.008430,8.0,1,stop@2020-10-28 08:00:13472.2018:1.000
22,L,2020-11-08 00:00,2020-11-09 16:00,14803.7914,14511.3350,14803.7914,stop,0.020579,0.000250,-0.006336,44.0,1,tp@2020-11-08 12:00:15388.7043:0.500;tp@2020-11-08 12:00:14925.0300:0.125;stop@2020-11-09 16:00:14833.3990:0.375
23,L,2020-12-04 16:00,2020-12-04 20:00,18973.7967,18693.7500,18973.7967,stop,-0.015960,0.000000,-0.008200,8.0,1,stop@2020-12-04 20:00:18693.7500:1.000
