time,bar_t,side,event,detail
2019-04-05 00:00,563,L,D_ARM,"{""day"": ""2019-04-04"", ""P0"": 4140.54, ""H1"": 5275.01}"
2019-04-05 00:00,563,L,ORDER_CREATE,"{""key"": 562, ""level"": 4859.9915, ""stop"": 4788.8203, ""atr_idx"": 562, ""atr_end_time"": 1554422399999, ""r_confirm_time"": 1554422399999}"
2019-04-05 00:00,563,L,SIGNAL,"{""key"": 562}"
2019-04-05 07:59,564,L,R_REPLACED,"{""old_key"": 562, ""new_key"": 564}"
2019-04-05 07:59,564,L,ORDER_CANCEL,"{""key"": 562, ""reason"": ""R_REPLACED"", ""level"": 4859.9915}"
2019-04-05 08:00,565,L,ORDER_CREATE,"{""key"": 564, ""level"": 4844.1169, ""stop"": 4762.669, ""atr_idx"": 564, ""atr_end_time"": 1554451199999, ""r_confirm_time"": 1554451199999}"
2019-04-05 08:00,565,L,SIGNAL,"{""key"": 564}"
2019-04-06 00:00,569,L,D_DISARM,"{""day"": ""2019-04-05"", ""P0"": 4140.54, ""H1"": 5275.01}"
2019-04-06 00:00,569,L,ORDER_CANCEL,"{""key"": 564, ""reason"": ""D_DISARMED"", ""level"": 4844.1169}"
2019-04-13 00:00,611,L,D_ARM,"{""day"": ""2019-04-12"", ""P0"": 4927.0, ""H1"": 5332.67}"
2019-04-13 00:00,611,L,ORDER_CREATE,"{""key"": 606, ""level"": 4914.3326, ""stop"": 4846.6363, ""atr_idx"": 610, ""atr_end_time"": 1555113599999, ""r_confirm_time"": 1555055999999}"
2019-04-13 00:00,611,L,SIGNAL,"{""key"": 606}"
2019-04-13 19:59,615,L,R_REPLACED,"{""old_key"": 606, ""new_key"": 615}"
2019-04-13 19:59,615,L,ORDER_CANCEL,"{""key"": 606, ""reason"": ""R_REPLACED"", ""level"": 4914.3326}"
2019-04-13 20:00,616,L,ORDER_CREATE,"{""key"": 615, ""level"": 5036.6941, ""stop"": 4988.988, ""atr_idx"": 615, ""atr_end_time"": 1555185599999, ""r_confirm_time"": 1555185599999}"
2019-04-13 20:00,616,L,SIGNAL,"{""key"": 615}"
2019-04-13 20:10,616,L,FILL,"{""signal_id"": ""L-2019-04-13 19:59-1"", ""expected"": 5036.6941, ""entry"": 5036.6941, ""stop"": 4988.988, ""key"": 615}"
2019-04-14 11:59,619,L,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-04-13 19:59-1""}"
2019-04-15 07:59,624,L,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-04-13 19:59-1""}"
2019-04-15 15:59,626,L,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-04-13 19:59-1""}"
2019-04-15 17:39,627,L,EXIT,"{""exit_kind"": ""stop"", ""px"": 4988.988, ""frac"": 1.0, ""signal_id"": ""L-2019-04-13 19:59-1""}"
2019-05-14 00:00,797,L,D_ARM,"{""day"": ""2019-05-13"", ""P0"": 6372.85, ""H1"": 8100.0}"
2019-05-14 00:00,797,L,ORDER_CREATE,"{""key"": 796, ""level"": 7436.8824, ""stop"": 7181.3212, ""atr_idx"": 796, ""atr_end_time"": 1557791999999, ""r_confirm_time"": 1557791999999}"
2019-05-14 00:00,797,L,SIGNAL,"{""key"": 796}"
2019-05-14 07:59,798,L,R_REPLACED,"{""old_key"": 796, ""new_key"": 798}"
2019-05-14 07:59,798,L,ORDER_CANCEL,"{""key"": 796, ""reason"": ""R_REPLACED"", ""level"": 7436.8824}"
2019-05-14 08:00,799,L,ORDER_CREATE,"{""key"": 798, ""level"": 7769.2552, ""stop"": 7545.296, ""atr_idx"": 798, ""atr_end_time"": 1557820799999, ""r_confirm_time"": 1557820799999}"
2019-05-14 08:00,799,L,SIGNAL,"{""key"": 798}"
2019-05-14 15:59,800,L,R_REPLACED,"{""old_key"": 798, ""new_key"": 800}"
2019-05-14 15:59,800,L,ORDER_CANCEL,"{""key"": 798, ""reason"": ""R_REPLACED"", ""level"": 7769.2552}"
2019-05-14 16:00,801,L,ORDER_CREATE,"{""key"": 800, ""level"": 8034.0059, ""stop"": 7876.3, ""atr_idx"": 800, ""atr_end_time"": 1557849599999, ""r_confirm_time"": 1557849599999}"
2019-05-14 16:00,801,L,SIGNAL,"{""key"": 800}"
2019-05-14 16:00,801,L,FILL,"{""signal_id"": ""L-2019-05-14 15:59-2"", ""expected"": 8034.0059, ""entry"": 8034.0059, ""stop"": 7876.3, ""key"": 800}"
2019-05-14 16:04,801,L,EXIT,"{""exit_kind"": ""stop"", ""px"": 7876.3, ""frac"": 1.0, ""signal_id"": ""L-2019-05-14 15:59-2""}"
2019-05-17 00:00,813,L,D_ARM,"{""day"": ""2019-05-16"", ""P0"": 6870.0, ""H1"": 8366.0}"
2019-05-17 08:00,815,L,ORDER_CREATE,"{""key"": 814, ""level"": 7239.9549, ""stop"": 6979.0, ""atr_idx"": 814, ""atr_end_time"": 1558079999999, ""r_confirm_time"": 1558079999999}"
2019-05-17 08:00,815,L,SIGNAL,"{""key"": 814}"
2019-05-17 08:05,815,L,FILL,"{""signal_id"": ""L-2019-05-17 07:59-3"", ""expected"": 7239.9549, ""entry"": 7239.9549, ""stop"": 6979.0, ""key"": 814}"
2019-05-17 12:24,816,L,EXIT,"{""exit_kind"": ""stop"", ""px"": 6979.0, ""frac"": 1.0, ""signal_id"": ""L-2019-05-17 07:59-3""}"
2019-05-21 00:00,837,L,D_ARM,"{""day"": ""2019-05-20"", ""P0"": 7156.61, ""H1"": 8275.09}"
2019-05-21 00:00,837,L,ORDER_CREATE,"{""key"": 835, ""level"": 7656.9445, ""stop"": 7530.341, ""atr_idx"": 836, ""atr_end_time"": 1558396799999, ""r_confirm_time"": 1558382399999}"
2019-05-21 00:00,837,L,SIGNAL,"{""key"": 835}"
2019-05-21 23:59,842,L,R_REPLACED,"{""old_key"": 835, ""new_key"": 842}"
2019-05-21 23:59,842,L,ORDER_CANCEL,"{""key"": 835, ""reason"": ""R_REPLACED"", ""level"": 7656.9445}"
2019-05-22 00:00,843,L,D_DISARM,"{""day"": ""2019-05-21"", ""P0"": 7156.61, ""H1"": 8275.09}"
2019-05-30 00:00,891,L,D_ARM,"{""day"": ""2019-05-29"", ""P0"": 7833.42, ""H1"": 8908.32}"
2019-05-30 00:00,891,L,ORDER_CREATE,"{""key"": 889, ""level"": 8605.5431, ""stop"": 8501.6483, ""atr_idx"": 890, ""atr_end_time"": 1559174399999, ""r_confirm_time"": 1559159999999}"
2019-05-30 00:00,891,L,SIGNAL,"{""key"": 889}"
2019-05-30 00:05,891,L,FILL,"{""signal_id"": ""L-2019-05-29 19:59-4"", ""expected"": 8605.5431, ""entry"": 8605.5431, ""stop"": 8501.6483, ""key"": 889}"
2019-05-30 07:59,892,L,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-05-30 15:59,894,L,EXIT,"{""exit_kind"": ""tp"", ""px"": 8926.734, ""frac"": 0.25, ""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-05-30 16:04,895,L,EXIT,"{""exit_kind"": ""tp"", ""px"": 9041.844, ""frac"": 0.25, ""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-05-30 20:19,896,L,EXIT,"{""exit_kind"": ""stop"", ""px"": 8501.6483, ""frac"": 0.5, ""signal_id"": ""L-2019-05-29 19:59-4""}"
2019-06-01 00:00,903,L,D_ARM,"{""day"": ""2019-05-31"", ""P0"": 8005.0, ""H1"": 9074.26}"
2019-06-01 00:00,903,L,ORDER_CREATE,"{""key"": 900, ""level"": 8215.8887, ""stop"": 8084.1745, ""atr_idx"": 902, ""atr_end_time"": 1559347199999, ""r_confirm_time"": 1559318399999}"
2019-06-01 00:00,903,L,SIGNAL,"{""key"": 900}"
2019-06-02 00:00,909,L,D_DISARM,"{""day"": ""2019-06-01"", ""P0"": 8005.0, ""H1"": 9074.26}"
2019-06-02 00:00,909,L,ORDER_CANCEL,"{""key"": 900, ""reason"": ""D_DISARMED"", ""level"": 8215.8887}"
2019-06-04 00:00,921,S,D_ARM,"{""day"": ""2019-06-03"", ""P0"": -8814.78, ""H1"": -8080.8}"
2019-06-04 04:00,922,S,ORDER_CREATE,"{""key"": 921, ""level"": -8368.4056, ""stop"": -8608.749, ""atr_idx"": 921, ""atr_end_time"": 1559620799999, ""r_confirm_time"": 1559620799999}"
2019-06-04 04:00,922,S,SIGNAL,"{""key"": 921}"
2019-06-04 11:59,923,S,R_REPLACED,"{""old_key"": 921, ""new_key"": 923}"
2019-06-04 11:59,923,S,ORDER_CANCEL,"{""key"": 921, ""reason"": ""R_REPLACED"", ""level"": -8368.4056}"
2019-06-04 12:00,924,S,ORDER_CREATE,"{""key"": 923, ""level"": -8017.0407, ""stop"": -8140.007, ""atr_idx"": 923, ""atr_end_time"": 1559649599999, ""r_confirm_time"": 1559649599999}"
2019-06-04 12:00,924,S,SIGNAL,"{""key"": 923}"
2019-06-04 13:10,924,S,FILL,"{""signal_id"": ""S-2019-06-04 11:59-5"", ""expected"": -8017.0407, ""entry"": -8017.0407, ""stop"": -8140.007, ""key"": 923}"
2019-06-04 16:59,925,S,EXIT,"{""exit_kind"": ""tp"", ""px"": -7848.888, ""frac"": 0.25, ""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-04 17:19,925,S,EXIT,"{""exit_kind"": ""tp"", ""px"": -7752.6546, ""frac"": 0.25, ""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-04 19:09,925,S,EXIT,"{""exit_kind"": ""tp"", ""px"": -7596.5427, ""frac"": 0.25, ""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-04 19:59,925,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-05 03:59,927,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-05 15:59,930,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-06 03:59,933,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-06 15:59,936,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-06 23:59,938,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-07 11:59,941,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-07 23:59,944,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-08 00:00,945,S,D_ARM,"{""day"": ""2019-06-07"", ""P0"": -8800.95, ""H1"": -7444.58}"
2019-06-08 00:00,945,S,ORDER_CREATE,"{""key"": 944, ""level"": -8026.2887, ""stop"": -8124.3, ""atr_idx"": 944, ""atr_end_time"": 1559951999999, ""r_confirm_time"": 1559951999999}"
2019-06-08 00:00,945,S,SIGNAL,"{""key"": 944}"
2019-06-08 11:59,947,S,R_REPLACED,"{""old_key"": 944, ""new_key"": 947}"
2019-06-08 11:59,947,S,ORDER_CANCEL,"{""key"": 944, ""reason"": ""R_REPLACED"", ""level"": -8026.2887}"
2019-06-08 11:59,947,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-08 12:00,948,S,ORDER_CREATE,"{""key"": 947, ""level"": -7982.6001, ""stop"": -8079.165, ""atr_idx"": 947, ""atr_end_time"": 1559995199999, ""r_confirm_time"": 1559995199999}"
2019-06-08 12:00,948,S,SIGNAL,"{""key"": 947}"
2019-06-09 00:00,951,S,D_DISARM,"{""day"": ""2019-06-08"", ""P0"": -8800.95, ""H1"": -7444.58}"
2019-06-09 00:00,951,S,ORDER_CANCEL,"{""key"": 947, ""reason"": ""D_DISARMED"", ""level"": -7982.6001}"
2019-06-09 07:59,952,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-09 23:59,956,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-10 07:59,958,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-10 15:59,960,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-11 07:59,964,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-11 19:59,967,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-12 07:59,970,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-12 15:14,972,S,EXIT,"{""exit_kind"": ""stop"", ""px"": -8140.007, ""frac"": 0.25, ""signal_id"": ""S-2019-06-04 11:59-5""}"
2019-06-25 00:00,1047,L,D_ARM,"{""day"": ""2019-06-24"", ""P0"": 9921.72, ""H1"": 11392.64}"
2019-06-25 00:00,1047,L,ORDER_CREATE,"{""key"": 1043, ""level"": 10747.9587, ""stop"": 10588.9376, ""atr_idx"": 1046, ""atr_end_time"": 1561420799999, ""r_confirm_time"": 1561377599999}"
2019-06-25 00:00,1047,L,SIGNAL,"{""key"": 1043}"
2019-06-25 07:59,1048,L,R_REPLACED,"{""old_key"": 1043, ""new_key"": 1048}"
2019-06-25 07:59,1048,L,ORDER_CANCEL,"{""key"": 1043, ""reason"": ""R_REPLACED"", ""level"": 10747.9587}"
2019-06-25 08:00,1049,L,ORDER_CREATE,"{""key"": 1048, ""level"": 11029.7139, ""stop"": 10828.756, ""atr_idx"": 1048, ""atr_end_time"": 1561449599999, ""r_confirm_time"": 1561449599999}"
2019-06-25 08:00,1049,L,SIGNAL,"{""key"": 1048}"
2019-06-25 15:59,1050,L,R_REPLACED,"{""old_key"": 1048, ""new_key"": 1050}"
2019-06-25 15:59,1050,L,ORDER_CANCEL,"{""key"": 1048, ""reason"": ""R_REPLACED"", ""level"": 11029.7139}"
2019-06-25 16:00,1051,L,ORDER_CREATE,"{""key"": 1050, ""level"": 11272.1793, ""stop"": 11124.4363, ""atr_idx"": 1050, ""atr_end_time"": 1561478399999, ""r_confirm_time"": 1561478399999}"
2019-06-25 16:00,1051,L,SIGNAL,"{""key"": 1050}"
2019-06-25 17:40,1051,L,FILL,"{""signal_id"": ""L-2019-06-25 15:59-6"", ""expected"": 11272.1793, ""entry"": 11272.1793, ""stop"": 11124.4363, ""key"": 1050}"
2019-06-25 22:59,1052,L,EXIT,"{""exit_kind"": ""tp"", ""px"": 11749.2654, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-6""}"
2019-06-25 23:59,1052,L,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-06-25 15:59-6""}"
2019-06-26 00:49,1053,L,EXIT,"{""exit_kind"": ""tp"", ""px"": 11969.103, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-6""}"
2019-06-26 04:04,1054,L,EXIT,"{""exit_kind"": ""tp"", ""px"": 12325.7285, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-6""}"
2019-06-26 05:14,1054,L,EXIT,"{""exit_kind"": ""tp"", ""px"": 12902.1915, ""frac"": 0.25, ""signal_id"": ""L-2019-06-25 15:59-6""}"
2019-06-29 00:00,1071,L,D_ARM,"{""day"": ""2019-06-28"", ""P0"": 10525.1, ""H1"": 13478.04}"
2019-06-29 00:00,1071,L,ORDER_CREATE,"{""key"": 1065, ""level"": 10851.8218, ""stop"": 10493.5247, ""atr_idx"": 1070, ""atr_end_time"": 1561766399999, ""r_confirm_time"": 1561694399999}"
2019-06-29 00:00,1071,L,SIGNAL,"{""key"": 1065}"
2019-06-29 07:59,1072,L,R_REPLACED,"{""old_key"": 1065, ""new_key"": 1072}"
2019-06-29 07:59,1072,L,ORDER_CANCEL,"{""key"": 1065, ""reason"": ""R_REPLACED"", ""level"": 10851.8218}"
2019-06-29 08:00,1073,L,ORDER_CREATE,"{""key"": 1072, ""level"": 11757.3701, ""stop"": 11465.5, ""atr_idx"": 1072, ""atr_end_time"": 1561795199999, ""r_confirm_time"": 1561795199999}"
2019-06-29 08:00,1073,L,SIGNAL,"{""key"": 1072}"
2019-06-29 08:30,1073,L,FILL,"{""signal_id"": ""L-2019-06-29 07:59-7"", ""expected"": 11757.3701, ""entry"": 11757.3701, ""stop"": 11465.5, ""key"": 1072}"
2019-06-29 11:44,1073,L,EXIT,"{""exit_kind"": ""tp"", ""px"": 11969.103, ""frac"": 0.25, ""signal_id"": ""L-2019-06-29 07:59-7""}"
2019-06-29 15:59,1074,L,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-06-29 07:59-7""}"
2019-06-30 11:59,1079,L,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-06-29 07:59-7""}"
2019-06-30 13:49,1080,L,EXIT,"{""exit_kind"": ""stop"", ""px"": 11465.5, ""frac"": 0.75, ""signal_id"": ""L-2019-06-29 07:59-7""}"
2019-07-02 00:00,1089,S,D_ARM,"{""day"": ""2019-07-01"", ""P0"": -12441.54, ""H1"": -10030.0}"
2019-07-02 00:00,1089,S,ORDER_CREATE,"{""key"": 1088, ""level"": -10770.3167, ""stop"": -11074.5443, ""atr_idx"": 1088, ""atr_end_time"": 1562025599999, ""r_confirm_time"": 1562025599999}"
2019-07-02 00:00,1089,S,SIGNAL,"{""key"": 1088}"
2019-07-02 07:59,1090,S,R_REPLACED,"{""old_key"": 1088, ""new_key"": 1090}"
2019-07-02 07:59,1090,S,ORDER_CANCEL,"{""key"": 1088, ""reason"": ""R_REPLACED"", ""level"": -10770.3167}"
2019-07-02 08:00,1091,S,ORDER_CREATE,"{""key"": 1090, ""level"": -10446.7302, ""stop"": -10732.1, ""atr_idx"": 1090, ""atr_end_time"": 1562054399999, ""r_confirm_time"": 1562054399999}"
2019-07-02 08:00,1091,S,SIGNAL,"{""key"": 1090}"
2019-07-02 14:35,1092,S,FILL,"{""signal_id"": ""S-2019-07-02 07:59-8"", ""expected"": -10446.7302, ""entry"": -10446.7302, ""stop"": -10732.1, ""key"": 1090}"
2019-07-02 15:59,1092,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-02 07:59-8""}"
2019-07-02 17:39,1093,S,EXIT,"{""exit_kind"": ""stop"", ""px"": -10732.1, ""frac"": 1.0, ""signal_id"": ""S-2019-07-02 07:59-8""}"
2019-07-04 00:00,1101,S,D_ARM,"{""day"": ""2019-07-03"", ""P0"": -11282.28, ""H1"": -9727.0}"
2019-07-04 00:04,1101,S,V,"{""P0"": -11282.28, ""mode"": ""5M""}"
2019-07-11 00:00,1143,L,D_ARM,"{""day"": ""2019-07-10"", ""P0"": 11220.0, ""H1"": 13147.08}"
2019-07-11 04:00,1144,L,ORDER_CREATE,"{""key"": 1143, ""level"": 11755.9789, ""stop"": 11534.293, ""atr_idx"": 1143, ""atr_end_time"": 1562817599999, ""r_confirm_time"": 1562817599999}"
2019-07-11 04:00,1144,L,SIGNAL,"{""key"": 1143}"
2019-07-11 04:00,1144,L,SKIP_V,"{""key"": 1143}"
2019-07-11 04:00,1144,L,ORDER_CANCEL,"{""key"": 1143, ""reason"": ""SKIP_V"", ""level"": 11755.9789}"
2019-07-11 04:39,1144,L,V,"{""P0"": 11220.0, ""mode"": ""5M""}"
2019-07-14 00:00,1161,S,D_ARM,"{""day"": ""2019-07-13"", ""P0"": -12111.73, ""H1"": -10830.0}"
2019-07-14 00:00,1161,S,ORDER_CREATE,"{""key"": 1159, ""level"": -11421.5408, ""stop"": -11626.8663, ""atr_idx"": 1160, ""atr_end_time"": 1563062399999, ""r_confirm_time"": 1563047999999}"
2019-07-14 00:00,1161,S,SIGNAL,"{""key"": 1159}"
2019-07-14 01:45,1161,S,SKIP_V,"{""key"": 1159}"
2019-07-14 01:45,1161,S,ORDER_CANCEL,"{""key"": 1159, ""reason"": ""SKIP_V"", ""level"": -11421.5408}"
2019-07-14 04:00,1162,S,ORDER_CREATE,"{""key"": 1161, ""level"": -11292.4526, ""stop"": -11514.2193, ""atr_idx"": 1161, ""atr_end_time"": 1563076799999, ""r_confirm_time"": 1563076799999}"
2019-07-14 04:00,1162,S,SIGNAL,"{""key"": 1161}"
2019-07-14 04:00,1162,S,FILL,"{""signal_id"": ""S-2019-07-14 03:59-9"", ""expected"": -11292.4526, ""entry"": -11292.4526, ""stop"": -11514.2193, ""key"": 1161}"
2019-07-14 11:59,1163,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-14 19:59,1165,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-15 03:59,1167,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-15 19:59,1171,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-16 00:00,1173,S,D_ARM,"{""day"": ""2019-07-15"", ""P0"": -11799.98, ""H1"": -9860.0}"
2019-07-16 03:59,1173,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
