signal_id,symbol,side,D_arm_time,R_confirm_time,order_create_time,expected_entry,actual_entry,actual_entry_time,ENTRY_R_LOW,ENTRY_R_HIGH,ENTRY_R_SIZE,structural_stop,stop_time,partial_exit_times,final_exit_time,exit_reason,r_net,pm_margin_pct,fee,funding,funding_events,mae,mfe,hold_h,age_bars,atr_idx,atr_end_time,decision_time,fills,event_sequence
L-2019-04-13 19:59-1,BTCUSDT,LONG,2019-04-13 00:00,2019-04-13 19:59,2019-04-13 20:00,5036.69,5036.69,2019-04-13 20:10,5004.00,5078.70,74.70,4988.99,2019-04-15 17:39,,2019-04-15 17:39,stop,-0.011272,-11.272,0.000700,0.000600,2019-04-14 00:00:+0.000100;2019-04-14 08:00:+0.000100;2019-04-14 16:00:+0.000100;2019-04-15 00:00:+0.000100;2019-04-15 08:00:+0.000100;2019-04-15 16:00:+0.000100,-0.00947,0.02595,45.50,1,615,2019-04-13 19:59,2019-04-13 20:10,stop@2019-04-15 17:39:4988.99:1.000,2019-04-13 20:10|FILL|5036.69|1.000;2019-04-15 17:39|EXIT_STOP|4988.99|1.000
L-2019-05-14 15:59-2,BTCUSDT,LONG,2019-05-14 00:00,2019-05-14 15:59,2019-05-14 16:00,8034.01,8034.01,2019-05-14 16:00,7900.00,8366.00,466.00,7876.30,2019-05-14 16:04,,2019-05-14 16:04,stop,-0.020830,-20.830,0.000700,0.000000,,-0.01963,0.00000,0.08,1,800,2019-05-14 15:59,2019-05-14 16:00,stop@2019-05-14 16:04:7876.30:1.000,2019-05-14 16:00|FILL|8034.01|1.000;2019-05-14 16:04|EXIT_STOP|7876.30|1.000
L-2019-05-17 07:59-3,BTCUSDT,LONG,2019-05-17 00:00,2019-05-17 07:59,2019-05-17 08:00,7239.95,7239.95,2019-05-17 08:05,7000.00,7925.00,925.00,6979.00,2019-05-17 12:24,,2019-05-17 12:24,stop,-0.037244,-37.244,0.000700,0.000000,,-0.03604,0.01182,4.33,1,814,2019-05-17 07:59,2019-05-17 08:05,stop@2019-05-17 12:24:6979.00:1.000,2019-05-17 08:05|FILL|7239.95|1.000;2019-05-17 12:24|EXIT_STOP|6979.00|1.000
L-2019-05-29 19:59-4,BTCUSDT,LONG,2019-05-30 00:00,2019-05-29 19:59,2019-05-30 00:00,8605.54,8605.54,2019-05-30 00:05,8527.23,8750.00,222.77,8501.65,2019-05-30 20:19,2019-05-30 15:59;2019-05-30 16:04,2019-05-30 20:19,stop,0.014994,14.994,0.000550,0.000175,2019-05-30 08:00:+0.000100;2019-05-30 16:00:+0.000075,-0.01207,0.05447,20.25,2,890,2019-05-29 23:59,2019-05-30 00:05,tp@2019-05-30 15:59:8926.73:0.250;tp@2019-05-30 16:04:9041.84:0.250;stop@2019-05-30 20:19:8501.65:0.500,2019-05-30 00:05|FILL|8605.54|1.000;2019-05-30 15:59|EXIT_TP|8926.73|0.250;2019-05-30 16:04|EXIT_TP|9041.84|0.250;2019-05-30 20:19|EXIT_STOP|8501.65|0.500
S-2019-06-04 11:59-5,BTCUSDT,SHORT,2019-06-04 00:00,2019-06-04 11:59,2019-06-04 12:00,8017.04,8017.04,2019-06-04 13:10,8115.66,7800.00,315.66,8140.01,2019-06-12 15:14,2019-06-04 16:59;2019-06-04 17:19;2019-06-04 19:09,2019-06-12 15:14,stop,0.021491,21.491,0.000475,0.000675,2019-06-04 16:00:+0.000100;2019-06-05 00:00:+0.000025;2019-06-05 08:00:+0.000025;2019-06-05 16:00:+0.000025;2019-06-06 00:00:+0.000025;2019-06-06 08:00:+0.000025;2019-06-06 16:00:+0.000025;2019-06-07 00:00:+0.000025;2019-06-07 08:00:+0.000025;2019-06-07 16:00:+0.000025;2019-06-08 00:00:+0.000025;2019-06-08 08:00:+0.000025;2019-06-08 16:00:+0.000025;2019-06-09 00:00:+0.000025;2019-06-09 08:00:+0.000025;2019-06-09 16:00:+0.000025;2019-06-10 00:00:+0.000025;2019-06-10 08:00:+0.000025;2019-06-10 16:00:+0.000025;2019-06-11 00:00:+0.000025;2019-06-11 08:00:+0.000025;2019-06-11 16:00:+0.000025;2019-06-12 00:00:+0.000025;2019-06-12 08:00:+0.000025,-0.01534,0.07141,194.08,1,923,2019-06-04 11:59,2019-06-04 13:10,tp@2019-06-04 16:59:7848.89:0.250;tp@2019-06-04 17:19:7752.65:0.250;tp@2019-06-04 19:09:7596.54:0.250;stop@2019-06-12 15:14:8140.01:0.250,2019-06-04 13:10|FILL|8017.04|1.000;2019-06-04 16:59|EXIT_TP|7848.89|0.250;2019-06-04 17:19|EXIT_TP|7752.65|0.250;2019-06-04 19:09|EXIT_TP|7596.54|0.250;2019-06-12 15:14|EXIT_STOP|8140.01|0.250
L-2019-06-25 15:59-6,BTCUSDT,LONG,2019-06-25 00:00,2019-06-25 15:59,2019-06-25 16:00,11272.18,11272.18,2019-06-25 17:40,11157.91,11499.24,341.33,11124.44,,2019-06-25 22:59;2019-06-26 00:49;2019-06-26 04:04,2019-06-26 05:14,tp,0.085080,85.080,0.000400,0.000075,2019-06-26 00:00:+0.000075,-0.00055,0.14460,11.58,1,1050,2019-06-25 15:59,2019-06-25 17:40,tp@2019-06-25 22:59:11749.27:0.250;tp@2019-06-26 00:49:11969.10:0.250;tp@2019-06-26 04:04:12325.73:0.250;tp@2019-06-26 05:14:12902.19:0.250,2019-06-25 17:40|FILL|11272.18|1.000;2019-06-25 22:59|EXIT_TP|11749.27|0.250;2019-06-26 00:49|EXIT_TP|11969.10|0.250;2019-06-26 04:04|EXIT_TP|12325.73|0.250;2019-06-26 05:14|EXIT_TP|12902.19|0.250
L-2019-06-29 07:59-7,BTCUSDT,LONG,2019-06-29 00:00,2019-06-29 07:59,2019-06-29 08:00,11757.37,11757.37,2019-06-29 08:30,11500.00,12441.54,941.54,11465.50,2019-06-30 13:49,2019-06-29 11:44,2019-06-30 13:49,stop,-0.015341,-15.341,0.000625,0.000225,2019-06-29 16:00:+0.000075;2019-06-30 00:00:+0.000075;2019-06-30 08:00:+0.000075,-0.02482,0.04139,29.33,1,1072,2019-06-29 07:59,2019-06-29 08:30,tp@2019-06-29 11:44:11969.10:0.250;stop@2019-06-30 13:49:11465.50:0.750,2019-06-29 08:30|FILL|11757.37|1.000;2019-06-29 11:44|EXIT_TP|11969.10|0.250;2019-06-30 13:49|EXIT_STOP|11465.50|0.750
S-2019-07-02 07:59-8,BTCUSDT,SHORT,2019-07-02 00:00,2019-07-02 07:59,2019-07-02 08:00,10446.73,10446.73,2019-07-02 14:35,10700.00,9760.02,939.98,10732.10,2019-07-02 17:39,,2019-07-02 17:39,stop,-0.028617,-28.617,0.000700,0.000100,2019-07-02 16:00:+0.000100,-0.02732,0.01261,3.08,2,1091,2019-07-02 11:59,2019-07-02 14:35,stop@2019-07-02 17:39:10732.10:1.000,2019-07-02 14:35|FILL|10446.73|1.000;2019-07-02 17:39|EXIT_STOP|10732.10|1.000
S-2019-07-14 03:59-9,BTCUSDT,SHORT,2019-07-14 00:00,2019-07-14 03:59,2019-07-14 04:00,11292.45,11292.45,2019-07-14 04:00,11479.78,10830.00,649.78,11514.22,,2019-07-16 23:04;2019-07-17 11:34,2019-08-02 00:00,dexit,0.125309,125.309,0.000550,0.003300,2019-07-14 08:00:+0.000100;2019-07-14 16:00:+0.000100;2019-07-15 00:00:+0.000100;2019-07-15 08:00:+0.000100;2019-07-15 16:00:+0.000100;2019-07-16 00:00:+0.000100;2019-07-16 08:00:+0.000100;2019-07-16 16:00:+0.000100;2019-07-17 00:00:+0.000075;2019-07-17 08:00:+0.000075;2019-07-17 16:00:+0.000050;2019-07-18 00:00:+0.000050;2019-07-18 08:00:+0.000050;2019-07-18 16:00:+0.000050;2019-07-19 00:00:+0.000050;2019-07-19 08:00:+0.000050;2019-07-19 16:00:+0.000050;2019-07-20 00:00:+0.000050;2019-07-20 08:00:+0.000050;2019-07-20 16:00:+0.000050;2019-07-21 00:00:+0.000050;2019-07-21 08:00:+0.000050;2019-07-21 16:00:+0.000050;2019-07-22 00:00:+0.000050;2019-07-22 08:00:+0.000050;2019-07-22 16:00:+0.000050;2019-07-23 00:00:+0.000050;2019-07-23 08:00:+0.000050;2019-07-23 16:00:+0.000050;2019-07-24 00:00:+0.000050;2019-07-24 08:00:+0.000050;2019-07-24 16:00:+0.000050;2019-07-25 00:00:+0.000050;2019-07-25 08:00:+0.000050;2019-07-25 16:00:+0.000050;2019-07-26 00:00:+0.000050;2019-07-26 08:00:+0.000050;2019-07-26 16:00:+0.000050;2019-07-27 00:00:+0.000050;2019-07-27 08:00:+0.000050;2019-07-27 16:00:+0.000050;2019-07-28 00:00:+0.000050;2019-07-28 08:00:+0.000050;2019-07-28 16:00:+0.000050;2019-07-29 00:00:+0.000050;2019-07-29 08:00:+0.000050;2019-07-29 16:00:+0.000050;2019-07-30 00:00:+0.000050;2019-07-30 08:00:+0.000050;2019-07-30 16:00:+0.000050;2019-07-31 00:00:+0.000050;2019-07-31 08:00:+0.000050;2019-07-31 16:00:+0.000050;2019-08-01 00:00:+0.000050;2019-08-01 08:00:+0.000050;2019-08-01 16:00:+0.000050;2019-08-02 00:00:+0.000050,-0.00476,0.19769,452.00,1,1161,2019-07-14 03:59,2019-07-14 04:00,tp@2019-07-16 23:04:9395.14:0.250;tp@2019-07-17 11:34:9190.57:0.250;dexit@2019-08-02 00:00:10375.00:0.500,2019-07-14 04:00|FILL|11292.45|1.000;2019-07-16 23:04|EXIT_TP|9395.14|0.250;2019-07-17 11:34|EXIT_TP|9190.57|0.250;2019-08-02 00:00|EXIT_DEXIT|10375.00|0.500
L-2019-08-08 07:59-10,BTCUSDT,LONG,2019-08-08 00:00,2019-08-08 07:59,2019-08-08 08:00,11745.95,11745.95,2019-08-08 13:55,11616.00,12017.75,401.75,11581.15,2019-08-08 17:29,,2019-08-08 17:29,stop,-0.015330,-15.330,0.000700,0.000100,2019-08-08 16:00:+0.000100,-0.01403,0.00454,3.58,2,1313,2019-08-08 11:59,2019-08-08 13:55,stop@2019-08-08 17:29:11581.15:1.000,2019-08-08 13:55|FILL|11745.95|1.000;2019-08-08 17:29|EXIT_STOP|11581.15|1.000
