side,entry_time,exit_time,result,entry,stop0,risk_pct,r_net_pct,margin_pnl_10x,mae_pct,hold_days,P0,H1,R_low,R_high,fills
L,2019-04-13 20:00,2019-04-15 16:00,stop,5036.69,4988.99,0.947,-1.127,-11.27,-0.73,2.00,4927.00,5332.67,5004.00,5078.70,stop@4989
L,2019-05-17 08:00,2019-05-17 12:00,stop,7239.95,6979.00,3.604,-3.734,-37.34,-2.54,0.33,6870.00,8366.00,7000.00,7925.00,stop@6979
L,2019-05-30 00:00,2019-05-30 20:00,stop,8605.54,8501.65,1.207,1.487,14.87,-1.07,1.00,7833.42,8908.32,8527.23,8750.00,tp@8927 tp@9042 stop@8502
S,2019-06-04 12:00,2019-06-12 12:00,stop,8017.04,8140.01,1.534,1.972,19.72,-1.03,8.17,8814.78,8080.80,8115.66,7800.00,tp@7849 tp@7753 tp@7597 stop@8140
L,2019-06-25 16:00,2019-06-26 04:00,tp,11272.18,11124.44,1.311,8.496,84.96,-0.05,0.67,9921.72,11392.64,11157.91,11499.24,tp@11749 tp@11969 tp@12326 tp@12902
L,2019-06-29 08:00,2019-06-30 12:00,stop,11757.37,11465.50,2.482,-1.552,-15.52,-2.18,1.33,10525.10,13478.04,11500.00,12441.54,tp@11969 stop@11466
S,2019-07-02 12:00,2019-07-02 16:00,stop,10446.73,10732.10,2.732,-2.862,-28.62,-2.02,0.33,12441.54,10030.00,10700.00,9760.02,stop@10732
S,2019-07-14 04:00,2019-08-02 00:00,dexit,11292.45,11514.22,1.964,12.291,122.91,-0.48,19.00,12111.73,10830.00,11479.78,10830.00,tp@9395 tp@9191 dexit@10375
L,2019-08-09 08:00,2019-08-10 08:00,stop,11701.98,11515.35,1.595,-1.750,-17.50,-0.02,1.17,10927.80,12330.70,11550.00,12045.68,stop@11515
S,2019-08-17 08:00,2019-08-19 04:00,stop,10425.59,10567.64,1.362,0.134,1.34,-0.71,2.00,10897.48,9750.00,10536.03,10201.00,tp@10392 tp@10061 stop@10568
S,2019-08-29 12:00,2019-09-01 20:00,stop,9599.77,9753.17,1.598,-1.096,-10.96,-1.00,3.50,10604.00,9601.01,9724.00,9320.00,tp@9482 stop@9753
S,2019-10-10 00:00,2019-10-11 04:00,stop,8519.36,8689.91,2.002,-2.162,-21.62,-1.46,1.33,9794.99,7710.00,8663.92,8160.00,stop@8690
S,2019-11-24 00:00,2019-11-27 16:00,stop,7300.76,7400.38,1.365,-1.600,-16.00,-1.05,3.83,8134.73,6790.00,7378.25,7143.00,stop@7400
L,2019-12-01 16:00,2019-12-02 04:00,stop,7294.90,7188.37,1.460,-1.600,-16.00,-0.27,0.67,6840.00,7850.00,7210.00,7477.29,stop@7188
S,2019-12-06 00:00,2019-12-06 16:00,stop,7410.78,7507.45,1.305,-1.450,-14.50,-0.44,0.83,7750.00,7067.00,7485.00,7265.00,stop@7507
S,2019-12-15 12:00,2019-12-17 16:00,tp,7139.89,7221.90,1.149,4.216,42.16,-0.14,2.33,7650.00,7012.00,7200.30,7035.37,tp@6967 tp@6906 tp@6806 tp@6645
S,2019-12-21 00:00,2019-12-22 16:00,stop,7175.95,7255.70,1.111,-1.286,-12.86,-0.34,1.83,7440.00,6435.00,7234.00,7079.50,stop@7256
L,2020-01-08 12:00,2020-01-08 16:00,stop,8222.05,8117.57,1.271,-1.401,-14.01,-0.46,0.33,6871.04,7795.34,8142.00,8377.00,stop@8118
L,2020-01-12 04:00,2020-02-19 20:00,v,8094.20,7979.15,1.421,17.292,172.92,-0.47,38.83,7672.00,8286.34,8003.16,8286.34,v@9594
S,2020-03-01 12:00,2020-03-02 12:00,stop,8718.92,8816.37,1.118,-1.273,-12.73,-0.67,1.17,9377.44,8445.00,8790.00,8600.00,stop@8816
S,2020-03-09 20:00,2020-03-10 08:00,stop,7939.98,8090.59,1.897,-2.037,-20.37,-0.38,0.67,9188.00,8000.00,8066.39,7632.01,stop@8091
S,2020-03-11 20:00,2020-03-12 08:00,tp,7961.03,8062.22,1.271,4.606,46.06,-0.24,0.67,8886.76,7632.01,8038.11,7813.00,tp@7827 tp@7720 tp@7546 tp@7266
S,2020-03-15 12:00,2020-03-15 20:00,stop,5530.41,5716.10,3.358,-3.493,-34.93,-1.15,0.50,7966.17,3782.13,5699.00,5055.13,stop@5716
L,2020-03-20 16:00,2020-03-20 20:00,stop,6273.60,6037.38,3.765,-3.895,-38.95,-1.91,0.33,4921.45,6400.00,6055.55,6900.00,stop@6037
L,2020-03-22 12:00,2020-03-22 20:00,stop,5975.83,5842.44,2.232,-2.367,-23.67,-1.89,0.50,5252.53,6900.00,5860.02,6275.00,stop@5842
L,2020-04-09 00:00,2020-04-09 08:00,stop,7266.57,7178.40,1.213,-1.348,-13.48,-0.44,0.50,6765.00,7459.69,7200.00,7390.00,stop@7178
S,2020-04-15 04:00,2020-04-16 08:00,stop,6917.55,6998.93,1.176,1.569,15.69,-0.90,1.33,7295.75,6575.00,6978.00,6810.06,tp@6635 tp@6570 stop@6999
L,2020-04-30 08:00,2020-05-10 00:00,stop,8581.15,8300.25,3.273,-3.688,-36.88,-2.10,9.83,7020.00,7705.00,8325.23,9300.87,stop@8300
L,2020-05-24 00:00,2020-05-24 12:00,stop,9139.26,9042.79,1.056,-1.196,-11.96,-0.43,0.67,8815.00,9578.47,9070.00,9247.63,stop@9043
L,2020-06-04 08:00,2020-06-11 16:00,stop,9459.87,9337.11,1.298,-0.135,-1.35,-0.92,7.50,9266.00,10228.99,9365.21,9646.43,tp@9900 stop@9337
S,2020-06-16 16:00,2020-06-22 16:00,stop,9506.87,9606.06,1.043,-1.348,-13.48,-0.61,6.17,9964.00,8910.45,9577.33,9400.00,stop@9606
S,2020-06-28 08:00,2020-06-28 12:00,stop,9063.39,9176.94,1.253,-1.383,-13.83,-0.22,0.33,9780.00,8833.00,9149.49,8900.22,stop@9177
L,2020-08-03 00:00,2020-08-26 00:00,dexit,11047.21,10898.21,1.349,4.248,42.48,-1.01,23.17,9917.21,12123.46,10931.00,11283.41,tp@12446 dexit@11318
L,2020-09-02 00:00,2020-09-02 04:00,stop,11892.68,11761.87,1.100,-1.230,-12.30,-0.57,0.33,11117.64,12050.85,11797.26,12050.85,stop@11762
S,2020-09-06 00:00,2020-09-07 20:00,stop,10193.80,10378.91,1.816,-1.996,-19.96,-1.50,2.00,11462.60,9825.00,10347.87,9825.00,stop@10379
L,2020-09-29 04:00,2020-10-01 16:00,stop,10720.04,10594.12,1.175,-1.375,-13.75,-0.79,2.67,10136.82,10950.00,10626.00,10888.59,stop@10594
L,2020-10-28 04:00,2020-10-28 08:00,stop,13625.59,13459.50,1.219,-1.349,-13.49,-0.88,0.33,11886.95,13350.00,13500.00,13859.48,stop@13460
L,2020-11-08 00:00,2020-12-12 00:00,dexit,14804.88,14516.32,1.949,15.487,154.87,-0.68,34.17,14093.56,15960.00,14560.00,15410.00,tp@14925 dexit@18037
L,2020-12-29 04:00,2021-01-02 16:00,tp,26169.16,25622.90,2.087,17.152,171.52,-1.10,4.67,24500.00,28422.00,25700.00,27356.30,tp@29387 tp@29981 tp@30946 tp@32505
L,2021-01-09 04:00,2021-01-10 12:00,stop,39318.10,38536.04,1.989,-1.027,-10.27,-1.52,1.50,33288.00,41950.00,38652.00,40976.13,tp@40277 stop@38536
S,2021-01-12 00:00,2021-01-12 04:00,stop,34853.29,36469.08,4.636,-4.766,-47.66,-1.99,0.33,41380.00,30420.00,36360.00,30420.00,stop@36469
S,2021-01-18 04:00,2021-01-18 12:00,stop,36269.12,36963.06,1.913,-2.048,-20.48,-1.05,0.50,39747.76,33850.00,36852.50,34842.99,stop@36963
S,2021-01-21 00:00,2021-01-29 08:00,stop,35233.87,36046.94,2.308,2.333,23.33,-1.04,8.50,37850.00,33400.00,35939.12,33400.00,tp@29007 stop@36047
L,2021-02-11 00:00,2021-02-23 04:00,v,44536.67,43595.82,2.113,9.156,91.56,-1.22,12.33,37988.89,48142.19,43727.00,46593.34,tp@46307 v@49640
L,2021-03-22 00:00,2021-03-22 16:00,stop,56568.72,55702.62,1.531,-1.676,-16.76,-0.49,0.83,54123.69,60129.97,55870.23,58113.00,stop@55703
L,2021-04-20 00:00,2021-04-20 04:00,stop,55075.58,54058.92,1.846,-1.976,-19.76,-1.52,0.33,50931.30,60499.00,54221.58,57142.20,stop@54059
S,2021-04-25 12:00,2021-04-26 00:00,stop,50414.52,51153.00,1.465,1.292,12.92,-0.30,0.67,55521.48,47500.00,51000.00,49161.94,tp@48899 tp@47646 stop@51153
L,2021-05-01 12:00,2021-05-02 04:00,stop,57036.60,56205.09,1.458,-1.603,-16.03,-1.25,0.83,48753.44,56428.00,56374.21,58458.07,stop@56205
L,2021-05-03 12:00,2021-05-04 00:00,stop,57276.03,56355.43,1.607,-1.747,-17.47,-1.47,0.67,53013.01,58458.07,56525.00,58981.44,stop@56355
